dotty, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:10:12 CEST 2019, 83955.666 50363.580 44923.768 43717.254 41761.918 40887.010 42115.556 40605.426 40603.167 41741.347 40258.062 40148.277 41571.924 40326.448 40022.971 40978.863 40083.099 39892.823 40639.250 39904.020 39954.591 40674.692 39897.933 39908.404 40380.763 39883.285 39760.625 40600.772 40021.765 39910.298 , 40369.266 Iteration   2: #
empty-file, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:33:49 CEST 2019, 2092.840 136.644 80.079 66.594 54.793 47.656 43.232 38.182 33.930 32.866 32.926 32.042 32.516 30.757 31.014 30.099 29.342 29.433 29.110 28.861 28.900 30.326 28.052 28.158 28.250 27.979 28.158 27.963 27.639 27.654 , 27.961 27.472 27.581 27.919 27.379 27.702 27.498 27.293 27.408 27.308 27.147 27.277 27.403 27.160 27.216 27.076 26.876 27.142 27.021 26.862
patmatexhaust, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:38:02 CEST 2019, 5675.500 1477.055 1147.266 933.600 782.991 702.674 611.706 575.496 534.042 492.234 422.979 410.273 398.067 409.803 415.373 412.603 423.121 403.948 399.090 388.289 5673.825 1542.409 1208.560 1014.252 871.471 773.907 688.898 611.788 572.600 525.216 463.229 413.578 387.619 385.489 405.310 405.482 397.455 400.397 396.869 374.646 5697.854 1590.087 1227.679 1039.976 900.150 784.153 731.005 671.549 623.290 568.775 532.543 473.334 426.474 399.476 398.890 381.441 392.857 415.683 411.982 409.677 , 391.862 365.148 357.178 346.765 344.936 381.823 320.944 315.764 316.869 310.282 307.221 313.279 296.055 297.425 291.665 286.766 284.359 285.090 283.148 277.854 280.220 277.294 272.484 278.412 275.106 268.544 278.341 268.520 270.266 273.040 267.531 270.705 273.537 267.543 265.164 265.222 262.213 263.130 262.829 257.865 368.972 369.758 349.016 344.200 340.847 392.264 328.972 319.639 313.687 311.728 304.364 305.470 294.587 297.511 290.569 286.722 285.678 286.778 285.839 281.174 285.058 277.334 278.639 280.009 275.956 271.290 272.670 274.229 271.091 272.209 267.452 271.006 273.696 266.416 264.900 262.587 263.410 260.407 261.399 263.003 399.974 409.121 388.913 380.597 366.785 376.681 407.582 348.377 346.784 333.936 322.237 317.819 321.275 308.678 305.939 299.905 294.276 290.588 287.807 288.593 283.490 290.921 280.886 279.930 275.319 280.300 275.133 276.043 274.026 273.183 269.734 271.549 274.145 270.865 269.516 267.577 266.071 268.154 273.217 267.880
exhaustivity-I, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:42:00 CEST 2019, 4470.051 1100.086 816.458 651.514 564.589 512.489 473.853 416.289 387.382 358.361 333.966 299.048 278.457 271.631 267.470 255.232 241.828 232.150 222.133 216.082 4447.979 1111.168 814.631 652.711 577.918 515.990 468.375 409.179 382.025 343.285 311.744 292.583 274.793 265.147 250.658 227.686 215.237 212.329 200.335 204.986 4469.705 1125.582 808.106 654.621 576.963 522.174 473.825 415.781 377.869 339.504 312.854 284.491 268.677 256.393 253.092 234.073 221.472 215.525 208.889 214.728 , 227.810 231.646 226.706 220.729 221.484 213.015 210.336 203.540 203.246 195.426 192.085 193.382 189.325 189.345 191.086 186.444 184.921 184.382 179.791 179.677 183.219 176.413 176.634 179.504 173.667 176.357 173.192 177.457 172.125 172.453 174.255 169.266 168.652 177.819 171.672 169.061 173.642 166.535 168.027 169.170 219.382 213.458 210.775 208.150 211.351 204.299 203.646 198.423 190.262 185.404 185.715 183.300 181.848 178.824 181.603 174.906 174.573 172.328 171.003 168.157 170.937 165.789 168.558 164.667 165.198 168.676 168.035 166.884 166.687 165.802 163.936 171.000 164.485 161.610 164.328 160.467 163.766 159.563 159.554 159.696 228.870 226.889 223.082 219.160 216.281 204.921 203.772 198.864 196.332 191.178 188.379 192.922 185.553 181.711 181.895 177.500 175.342 176.048 173.704 172.903 174.984 171.139 171.704 172.375 170.843 168.769 171.735 170.575 168.505 174.824 168.511 165.385 170.509 165.836 163.230 168.799 163.861 166.625 164.853 163.055
exhaustivity-S, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:46:18 CEST 2019, 4889.846 1259.994 872.118 739.598 678.124 643.505 614.308 601.906 587.076 567.091 552.505 539.327 524.395 524.958 518.739 511.046 510.801 511.442 504.556 508.410 4955.225 1272.685 861.529 807.383 708.188 661.994 629.273 622.769 591.003 576.391 566.693 549.514 546.012 543.984 529.755 534.362 529.876 530.791 535.602 527.171 4953.563 1375.685 976.033 754.228 692.054 645.024 611.513 603.855 580.070 556.334 556.204 547.039 534.460 539.556 538.340 531.092 528.570 530.815 520.435 527.092 , 507.793 501.625 505.081 509.058 501.160 499.495 502.692 500.838 496.942 496.895 498.490 500.829 494.779 493.625 494.186 491.103 492.867 487.224 489.187 488.868 485.901 487.654 484.865 482.149 484.321 484.280 484.108 480.821 484.144 480.469 480.712 478.227 482.522 478.891 478.566 477.878 475.130 477.382 478.489 477.379 530.166 530.361 525.882 526.699 517.454 522.267 517.351 515.272 517.004 513.352 514.091 513.391 515.518 514.610 509.986 507.734 510.406 511.087 505.817 507.489 504.734 507.630 501.735 506.963 506.765 501.163 502.934 501.685 504.399 502.673 499.730 497.912 498.757 498.103 497.700 496.395 496.857 493.931 493.728 497.094 519.093 522.175 521.954 515.366 522.541 514.329 512.406 517.274 515.557 511.259 513.434 509.581 517.499 516.520 507.873 508.957 510.092 508.269 504.918 505.613 502.489 510.483 500.147 501.829 501.782 500.835 499.261 501.470 498.383 496.683 496.834 497.039 495.261 494.694 493.572 492.536 491.596 492.492 495.742 491.335
exhaustivity-T, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 02:53:27 CEST 2019, 6814.133 3303.570 2539.237 2618.749 2394.821 2346.317 2308.331 2279.413 2282.789 2246.054 2242.097 2223.778 2215.404 2189.777 2187.224 2167.616 2167.932 2170.641 2155.490 2144.859 6834.227 3134.362 2457.137 2528.955 2371.372 2325.597 2287.954 2268.677 2261.096 2228.848 2223.498 2214.924 2216.667 2186.254 2180.451 2166.706 2169.677 2159.751 2148.530 2136.714 6458.078 2942.863 2467.345 2428.729 2279.977 2236.239 2201.739 2193.526 2174.627 2147.916 2141.635 2148.860 2127.856 2111.954 2110.663 2088.377 2088.679 2077.373 2069.652 2056.560 , 2142.775 2142.437 2145.978 2135.657 2142.043 2136.430 2139.438 2140.072 2128.827 2132.668 2130.102 2136.444 2124.497 2134.104 2133.805 2123.094 2125.515 2118.269 2128.868 2131.873 2118.658 2122.479 2120.081 2124.049 2114.825 2116.472 2112.236 2117.113 2119.171 2119.901 2114.627 2108.978 2111.823 2116.574 2115.840 2114.304 2106.453 2117.009 2103.065 2102.746 2130.289 2137.408 2136.002 2128.304 2125.538 2126.865 2130.509 2131.773 2120.857 2118.319 2118.544 2125.237 2131.273 2128.277 2122.743 2122.985 2113.787 2113.226 2121.953 2117.189 2118.108 2109.033 2116.842 2109.118 2121.179 2119.094 2112.613 2116.998 2105.076 2109.228 2107.351 2099.817 2105.350 2103.715 2110.184 2120.167 2100.958 2107.607 2101.947 2100.937 2055.191 2052.894 2049.674 2039.251 2042.685 2041.677 2037.261 2038.119 2037.242 2030.626 2030.574 2039.756 2039.029 2038.706 2032.936 2027.742 2023.708 2023.549 2026.077 2029.575 2034.976 2015.819 2028.652 2025.108 2017.472 2018.681 2018.660 2016.272 2018.206 2017.383 2021.832 2013.804 2019.977 2016.981 2020.411 2020.167 2012.376 2024.688 2013.609 2008.041
exhaustivity-V, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:01:28 CEST 2019, 6977.613 3394.434 3246.445 3037.241 2847.905 2796.931 2770.741 2714.836 2749.868 2707.190 2690.070 2668.378 2650.257 2639.764 2623.741 2635.690 2631.877 2614.700 2622.478 2605.445 6575.354 3024.555 2499.227 2366.387 2296.783 2264.845 2219.821 2189.489 2182.976 2156.909 2150.780 2143.667 2124.542 2113.023 2100.111 2102.950 2088.584 2070.445 2071.322 2078.942 6863.239 3627.618 2917.744 2771.474 2858.784 2755.821 2721.356 2676.918 2689.157 2660.300 2646.420 2634.199 2625.469 2609.239 2593.897 2607.301 2602.416 2577.263 2577.022 2571.149 , 2600.152 2600.337 2591.443 2590.908 2589.008 2586.722 2584.812 2623.417 2605.481 2589.428 2598.871 2561.274 2553.155 2549.885 2554.426 2546.927 2549.257 2545.872 2541.721 2547.256 2540.877 2561.003 2560.258 2555.756 2548.430 2555.571 2549.364 2550.452 2543.688 2546.008 2556.583 2555.003 2552.480 2528.826 2542.124 2539.288 2535.714 2547.550 2544.094 2533.545 2080.103 2070.044 2071.897 2074.280 2061.651 2066.130 2059.835 2061.296 2056.142 2044.598 2049.085 2053.793 2052.801 2044.522 2047.601 2037.061 2041.270 2039.991 2037.357 2043.622 2030.610 2050.963 2052.825 2057.290 2046.219 2043.491 2045.099 2047.350 2031.274 2032.223 2034.588 2036.345 2035.750 2020.789 2025.604 2022.812 2030.703 2035.214 2029.359 2036.242 2572.907 2555.273 2570.268 2565.188 2554.497 2568.054 2583.070 2551.189 2572.554 2563.212 2562.010 2556.976 2555.236 2551.539 2550.375 2541.223 2570.379 2561.796 2566.231 2557.894 2551.355 2557.615 2558.658 2556.955 2543.408 2531.729 2542.565 2538.956 2529.341 2536.733 2543.197 2538.832 2543.094 2530.004 2537.767 2534.799 2549.204 2546.280 2542.992 2547.909
implicitNums, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:03:01 CEST 2019, 6931.662 2503.908 1844.730 1620.191 1444.252 1282.741 1113.212 1067.072 1093.851 1156.984 919.908 825.767 770.735 741.291 690.646 653.073 676.384 625.882 584.577 575.714 568.783 583.312 564.793 565.113 570.545 559.390 561.626 563.229 557.904 560.726 , 573.400 553.586 554.866 563.463 554.795 555.275 565.792 556.420 564.072 554.815 547.418 558.624 548.030 552.163 563.966 546.917 548.111 563.726 554.192 549.795
scalapb, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:10:13 CEST 2019, 25944.180 13733.615 11491.397 10496.556 9733.415 8737.446 8252.759 7929.189 7672.661 7488.504 7527.105 7386.017 7369.548 7326.305 7310.057 7143.910 7156.996 7206.372 7243.386 7152.302 7121.509 7104.563 7008.186 7054.294 7086.707 7100.925 7099.160 7087.165 7075.169 7034.285 , 7001.850 6957.963 6975.944 7098.289 7062.635 6976.964 6986.849 7004.244 6996.255 6948.527 6941.301 7088.728 7006.019 6956.459 7010.388 7020.305 6989.495 6951.539 6954.626 6963.073
scalap, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:12:53 CEST 2019, 14268.325 5390.721 4628.507 4007.624 3679.492 3435.576 3374.055 3133.905 2891.791 2740.676 2675.735 2627.593 2548.520 2515.668 2457.520 2415.280 2357.533 2332.691 2267.427 2267.717 2248.644 2243.643 2214.202 2237.204 2177.738 2196.067 2134.802 2183.953 2142.265 2127.317 , 2148.854 2107.007 2089.983 2089.507 2072.361 2062.224 2058.075 2086.055 2052.943 2038.386 2050.075 2027.850 2034.970 2016.758 2020.999 2019.816 2020.618 2012.727 2025.062 2030.668
power-macro-power-inlined-1, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:14:18 CEST 2019, 3225.848 372.935 259.289 195.109 163.368 136.083 127.174 118.467 113.688 109.320 106.294 102.849 103.306 100.456 99.550 100.226 98.605 97.680 95.304 96.974 94.366 95.096 93.398 96.046 91.303 93.252 90.699 92.590 88.884 90.201 , 90.250 89.351 87.114 88.404 87.408 100.855 86.079 86.109 86.842 86.235 85.034 84.643 85.261 85.030 85.301 84.066 85.620 83.941 84.658 85.603
power-macro-power-inlined-1k, 6454, 2019-05-04T23:30:43Z, 3c75623, Sun May  5 03:15:47 CEST 2019, 4381.130 829.333 538.353 471.063 401.082 367.621 342.466 306.098 284.713 254.937 236.521 223.310 253.858 239.314 225.836 211.432 204.870 197.442 196.826 190.888 193.560 183.860 189.222 185.098 181.603 182.926 179.095 183.762 180.039 180.471 , 179.781 176.485 178.065 177.358 176.812 200.647 173.133 174.456 173.464 174.547 172.491 173.653 171.832 169.505 172.557 169.734 172.240 169.543 170.157 172.185
