dotty, 3222, 2017-10-01T14:24:03Z, 196c23c, 37623.208, Sun Oct  1 16:47:57 CEST 2017, 81761.929 45543.571 39825.839 39497.057 38503.989 38113.437 38018.959 38003.301 37967.757 37838.183 , 37871.385 37867.964 37786.721 37742.181 37867.928 37647.991 37863.670 37624.779 37331.158 37785.945 37484.310 37596.209 37823.905 37621.637 37460.594 37436.463 37314.536 37417.802 37342.519 37342.949
tests/exhaustivity-I.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 197.4575, Sun Oct  1 17:07:28 CEST 2017, 4218.029 1565.175 1180.904 790.746 829.028 690.621 532.173 506.670 514.719 390.430 301.157 301.789 268.864 282.680 259.326 238.439 267.872 289.316 274.917 255.229 4319.303 1397.779 1181.742 764.399 611.375 550.489 441.638 387.435 372.763 353.273 321.841 394.598 302.870 279.230 263.126 257.453 240.539 225.474 223.650 218.749 4295.566 1469.061 874.429 899.425 770.587 532.122 411.203 501.940 475.660 419.519 294.940 407.751 285.954 348.395 276.851 263.239 235.935 229.476 224.392 224.638 , 240.634 214.743 216.612 209.601 205.947 235.759 230.832 215.145 210.536 210.544 203.764 204.049 211.411 197.415 193.461 194.062 194.972 193.326 198.349 193.286 207.460 275.946 197.767 194.436 189.266 191.237 201.059 189.910 188.981 197.197 185.764 182.979 183.721 183.014 185.581 185.867 184.585 184.897 184.951 193.932 213.830 248.579 209.653 210.887 206.989 204.660 201.106 201.435 200.185 203.068 198.852 195.724 198.028 200.781 193.947 197.364 200.902 194.825 198.043 197.500 196.278 193.093 191.583 188.026 188.686 189.960 189.196 187.958 186.567 187.259 186.579 185.504 187.958 185.490 185.878 184.079 185.018 184.101 182.765 182.841 218.346 219.928 215.352 212.440 213.838 211.719 228.873 206.695 207.571 209.008 233.103 206.070 202.750 201.305 201.958 199.452 198.894 200.739 216.937 229.727 204.145 201.634 196.577 196.763 197.915 194.012 201.872 206.027 225.724 195.188 192.950 189.795 189.322 187.587 192.837 189.613 188.997 187.809 187.478 186.553
tests/exhaustivity-S.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 330.267, Sun Oct  1 17:11:12 CEST 2017, 4466.056 1191.136 849.774 752.551 580.143 522.937 613.956 489.156 409.584 523.080 454.333 412.418 375.235 363.331 357.828 354.389 351.496 378.185 347.095 350.050 4286.044 1056.577 831.801 731.635 667.064 579.689 602.663 591.285 441.076 457.645 418.349 435.928 411.797 370.899 370.712 377.410 414.118 372.834 353.475 355.086 4400.150 1086.314 732.911 726.103 582.372 533.004 557.003 397.223 383.661 370.611 356.704 340.775 339.783 336.850 329.139 322.173 339.988 349.726 395.551 343.104 , 352.204 344.076 341.134 341.143 341.180 337.699 336.060 426.855 346.114 340.546 346.947 333.807 334.608 335.646 332.434 329.765 327.336 329.901 327.388 330.633 334.577 341.520 332.184 326.389 325.958 323.175 323.833 323.876 323.941 324.536 322.853 323.485 323.239 323.765 320.348 323.305 325.112 325.691 322.096 322.721 359.876 365.585 355.384 405.755 356.020 346.144 345.527 347.402 344.695 341.689 348.429 349.835 341.879 341.242 342.312 342.695 339.938 338.029 337.125 336.188 338.058 337.191 335.640 334.654 338.401 337.704 337.397 333.656 336.591 332.950 336.100 333.652 333.567 333.671 332.344 334.123 330.950 332.482 332.333 331.074 380.121 314.237 308.853 308.375 306.702 308.164 303.982 309.577 311.795 302.065 302.575 301.684 303.694 298.075 299.505 297.275 296.874 296.301 301.289 298.744 296.675 296.553 295.238 296.171 307.155 296.784 293.305 293.562 294.031 294.355 292.944 301.028 305.693 304.561 295.672 290.728 290.283 290.984 291.055 291.264
tests/exhaustivity-T.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 954.897, Sun Oct  1 17:16:18 CEST 2017, 5041.925 2135.270 1622.558 1410.357 1399.759 1446.033 1251.479 1164.581 1135.420 1119.082 1080.653 1077.471 1059.976 1350.763 1036.062 1075.509 1033.326 1073.212 1044.518 1017.647 5441.943 1917.775 1538.036 1648.902 1650.030 1217.177 1240.150 1311.787 1159.831 1109.646 1056.758 1079.363 1055.915 1050.107 1017.562 1005.611 1015.681 994.107 1019.979 1143.492 5068.700 2156.156 1273.270 1182.627 1802.108 1343.575 1246.408 1117.811 1006.823 986.261 969.805 950.633 938.084 1103.884 1035.573 1025.418 1043.719 1163.570 963.604 959.503 , 1023.376 1010.473 999.686 997.953 1030.588 1013.560 1199.591 1001.919 1013.139 1008.373 1002.660 983.937 990.656 976.276 973.055 973.659 969.379 973.449 970.473 969.323 966.743 986.266 972.469 968.109 972.192 967.892 960.348 960.864 976.902 983.528 963.480 971.570 1000.968 969.459 953.249 956.582 955.371 958.625 955.641 954.423 1139.178 981.549 979.236 979.480 961.314 974.872 964.651 958.373 954.206 950.786 970.708 1026.398 1027.892 963.990 1022.001 1094.618 965.262 953.194 953.073 945.468 941.945 956.393 941.866 1047.171 966.301 1146.933 952.999 930.966 936.557 941.627 951.106 934.203 931.554 931.162 932.713 931.921 933.906 929.173 933.680 930.980 1032.021 984.892 912.238 901.286 908.074 893.723 885.943 917.327 915.398 933.586 874.560 872.707 865.158 871.551 864.949 880.123 862.083 881.823 862.429 866.942 864.620 865.388 866.025 861.514 870.437 876.669 857.388 858.494 860.660 1080.510 862.808 854.690 855.170 855.525 854.478 856.150 853.215 852.707 854.242 851.495
tests/exhaustivity-V.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 2452.5165, Sun Oct  1 17:23:47 CEST 2017, 7351.301 3666.435 2982.133 2824.615 3030.571 2990.686 2775.413 2722.064 2707.760 2697.234 2677.405 2668.633 2640.754 2652.227 2662.575 2612.578 2677.849 2975.935 2646.919 2681.189 6839.577 3465.552 2941.948 2770.718 3215.830 2684.181 2648.541 2624.008 2597.032 2586.665 2602.896 2604.202 2587.031 2559.116 2619.821 2564.025 2506.802 2542.538 2614.624 2514.079 6524.949 2944.656 2361.935 2386.831 2764.906 2273.804 2088.672 2071.685 2058.233 2024.547 2144.530 2095.730 1986.828 1997.866 2121.361 1975.875 1969.897 1960.270 1957.180 1953.468 , 2608.455 2622.921 2600.810 2597.763 2579.069 2584.343 2589.485 2588.195 2579.905 2583.845 2585.213 2589.809 2578.174 2599.714 2622.446 2799.112 2570.031 2562.479 2571.855 2615.489 2573.451 2569.735 2589.997 2579.335 2566.981 2571.428 2561.480 2557.956 2569.271 2556.193 2557.383 2559.724 2571.160 2557.415 2587.246 2554.492 2712.932 2550.019 2544.071 2550.933 2485.802 2477.487 2510.411 2486.026 2474.978 2480.370 2471.033 2459.163 2462.391 2470.430 2469.369 2460.565 2509.598 2485.500 2450.909 2545.667 2450.941 2448.186 2456.576 2454.693 2444.752 2442.608 2448.101 2450.198 2440.428 2453.913 2447.498 2451.200 2440.690 2442.662 2451.631 2443.151 2444.620 2446.679 2453.853 2440.009 2447.798 2439.073 2453.072 2451.961 1940.672 1950.136 1973.659 1927.724 1918.662 1924.120 1940.083 1980.603 1952.689 1949.153 1928.854 1950.867 1934.736 1912.271 1931.904 1915.340 1917.860 1979.719 1946.637 1982.163 1964.684 1925.133 1934.154 1908.153 1908.701 1923.147 1916.997 1917.917 1916.930 1968.524 1903.420 1937.936 1924.969 1912.004 1925.368 1904.758 2048.625 1913.357 1896.939 1910.975
tests/implicitNums.scala, 3222, 2017-10-01T14:24:03Z, 196c23c, 872.2255, Sun Oct  1 17:24:47 CEST 2017, 7234.835 2893.545 2015.504 1583.228 1641.331 1123.692 1449.266 1166.664 978.520 942.230 , 932.232 1048.703 911.444 915.602 907.202 890.528 884.487 887.878 900.464 870.413 873.445 861.820 871.006 864.984 863.160 864.313 860.083 864.639 868.594 862.906
dotty, 3222, 2017-10-01T18:53:11Z, ea1400f, 38010.3225, Sun Oct  1 21:17:08 CEST 2017, 79475.236 43915.230 40336.827 39755.267 38594.572 38563.676 38315.954 38274.708 38109.840 38042.165 , 38152.538 37787.000 38051.203 38823.615 38108.286 38037.623 38078.010 38078.322 37722.137 38092.316 37670.102 38090.385 37821.205 37869.390 37853.732 37799.522 37946.528 38029.832 37990.813 37897.551
tests/scala-library, 3222, 2017-10-01T18:53:11Z, ea1400f, 6552.262, Sun Oct  1 21:21:01 CEST 2017, 26106.637 12163.179 9621.657 8178.846 7602.180 7343.238 7108.269 7700.015 7193.611 6852.859 , 6755.294 6749.541 6627.485 6562.653 6602.822 6703.522 6504.238 6563.939 6588.101 6556.600 6513.837 6505.288 6547.924 6518.281 6471.721 6612.248 6455.355 6411.442 6405.833 6401.115
tests/implicit_cache.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 124.054, Sun Oct  1 21:21:37 CEST 2017, 3075.278 586.955 525.773 366.893 312.637 234.784 275.984 205.632 158.359 158.990 , 158.349 158.717 130.712 136.474 129.157 130.212 124.318 123.790 125.697 119.630 119.995 118.803 134.425 119.071 121.754 117.589 116.381 118.534 133.990 115.479
tests/implicit-scope-loop.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 130.128, Sun Oct  1 21:22:13 CEST 2017, 3094.555 597.449 548.498 445.360 275.971 231.779 186.719 170.430 163.038 157.369 , 154.538 148.428 137.624 136.822 133.258 129.852 145.199 132.236 128.021 130.404 133.043 125.256 125.995 138.101 127.881 119.340 119.196 123.450 121.087 120.386
tests/i1535.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 167.9485, Sun Oct  1 21:22:51 CEST 2017, 3450.690 814.442 618.535 524.332 416.567 382.054 265.394 244.964 273.056 250.778 , 292.843 260.284 190.952 176.858 172.168 169.074 170.174 181.579 160.875 158.860 206.646 184.111 156.660 166.823 154.492 150.456 156.946 151.232 150.925 152.123
tests/i1687.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 103.6535, Sun Oct  1 21:23:27 CEST 2017, 2820.997 456.055 353.292 313.179 341.863 241.240 170.454 174.795 128.315 122.828 , 122.904 112.981 110.640 112.959 113.298 109.462 107.296 104.374 105.845 104.954 102.933 102.801 100.876 101.126 100.312 99.969 100.659 100.007 99.154 98.250
tests/Vector.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 633.4075, Sun Oct  1 21:27:25 CEST 2017, 7321.586 3200.594 2519.954 1864.439 1568.512 1623.683 1596.669 1069.446 930.704 966.100 1045.031 817.973 796.875 1078.172 770.794 769.117 722.455 768.143 790.352 677.030 7501.141 2675.439 2449.674 1897.776 1854.970 1521.067 1491.587 1059.823 898.850 828.233 795.517 745.392 734.139 788.321 774.313 719.190 676.088 678.206 663.850 650.848 8415.259 3095.259 2210.156 1736.848 1566.093 1303.364 1786.057 1703.364 1489.661 1288.379 1378.546 920.999 828.960 818.375 844.624 817.780 742.398 730.068 713.661 738.586 , 671.965 682.586 672.346 675.715 662.679 651.988 679.057 648.137 644.203 634.230 633.312 632.300 635.196 626.164 620.163 625.909 621.030 637.276 617.046 613.820 601.891 612.539 620.804 775.887 656.421 605.638 641.044 615.975 618.943 661.329 655.787 809.798 900.746 658.251 722.022 650.412 630.498 731.448 620.323 627.475 633.503 647.455 652.395 616.575 609.449 626.200 628.835 602.283 602.919 606.126 599.927 601.720 613.140 606.411 597.957 598.283 608.346 604.326 607.805 596.379 702.897 697.143 716.463 708.536 680.568 662.716 665.612 662.623 642.395 644.890 637.289 638.012 643.790 701.462 742.252 715.690 683.263 640.871 791.008 631.318 625.045 619.422 623.673 623.430 630.516 618.423 619.949 613.820 616.083 616.631
tests/empty-class.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 80.467, Sun Oct  1 21:28:00 CEST 2017, 2549.987 411.982 338.388 286.362 189.139 156.027 122.889 109.530 105.262 89.970 , 89.315 87.293 85.073 84.413 85.737 82.975 81.382 81.623 80.641 79.698 81.606 79.254 78.736 80.293 78.172 79.615 77.217 78.049 76.712 78.306
tests/empty-object.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 79.996, Sun Oct  1 21:28:35 CEST 2017, 2550.244 381.592 266.643 263.862 185.284 178.932 123.235 151.251 112.109 105.783 , 91.657 85.528 85.069 86.558 82.601 83.371 82.162 81.094 79.974 80.018 80.531 78.972 78.438 78.312 78.736 79.601 78.307 78.787 77.764 77.635
tests/empty-file.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 63.207, Sun Oct  1 21:29:10 CEST 2017, 2097.763 310.453 199.406 164.062 134.736 163.531 143.175 85.747 99.260 79.229 , 71.664 66.262 67.160 66.361 65.874 67.564 64.524 63.870 64.247 63.390 62.735 63.024 63.002 62.158 62.760 62.566 62.140 61.930 62.272 62.912
tests/patmatexhaust.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 328.1935, Sun Oct  1 21:33:11 CEST 2017, 5453.237 2049.085 1632.258 1498.966 1023.776 1106.493 1024.124 861.388 710.362 668.613 614.690 528.279 492.230 558.008 497.856 532.219 588.138 436.592 414.454 399.424 5581.798 1726.167 1506.276 1074.522 1048.022 1055.068 862.950 915.501 854.291 549.601 674.739 702.036 516.088 508.480 445.405 569.436 427.381 408.884 399.719 384.977 5832.207 1754.446 1786.302 1259.797 1320.597 1106.583 774.068 692.201 679.946 668.305 613.530 541.288 615.749 605.677 584.708 448.306 435.786 420.733 407.571 409.262 , 378.624 381.053 373.555 375.369 365.865 364.180 361.036 353.648 359.529 403.340 405.098 374.481 357.126 362.191 335.967 343.063 337.783 331.420 330.492 329.231 331.398 328.384 328.003 318.244 323.074 322.951 328.701 317.863 320.411 320.165 317.690 320.756 316.179 317.325 316.794 313.346 317.419 310.306 315.082 309.042 383.072 364.916 364.372 366.520 361.096 358.070 362.978 348.905 347.012 366.531 364.960 381.080 338.877 325.862 360.052 336.093 335.508 325.851 325.148 354.816 329.132 324.076 320.513 317.745 318.344 320.348 312.103 310.014 312.822 308.999 311.232 308.065 308.083 306.495 305.284 308.634 307.559 303.285 307.612 300.417 393.738 384.118 373.592 366.514 357.632 359.974 356.291 344.521 353.163 377.331 377.844 342.526 340.335 333.836 333.535 332.381 326.756 323.704 321.303 327.535 326.435 329.450 321.652 318.995 315.649 322.579 315.709 317.436 318.079 329.144 311.699 311.948 309.966 340.752 318.217 307.210 306.346 310.909 309.586 304.297
tests/exhaustivity-I.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 195.691, Sun Oct  1 21:36:52 CEST 2017, 4473.715 1452.749 973.731 783.085 711.186 465.140 437.170 387.137 428.674 401.475 286.676 372.082 265.425 255.297 247.032 233.388 220.735 220.889 259.548 232.394 4389.032 1494.123 821.622 655.531 593.554 600.289 485.335 425.172 415.328 461.683 450.957 414.093 361.902 260.554 258.787 245.709 322.115 306.854 299.169 238.986 4127.971 1353.152 1235.892 849.619 656.216 717.829 641.088 404.792 363.298 453.455 382.468 291.181 276.441 269.356 272.321 252.331 240.376 249.481 306.665 233.985 , 257.404 232.094 204.149 213.216 204.377 200.740 196.319 202.968 197.424 193.852 193.626 194.775 194.849 194.553 193.064 192.355 192.607 196.654 197.383 196.233 191.351 187.479 187.944 188.321 190.686 188.644 184.633 184.774 182.804 182.503 182.926 184.123 183.652 182.804 188.992 180.564 191.022 183.836 184.799 180.698 207.348 219.391 208.265 207.165 205.027 205.613 205.587 202.399 204.490 200.736 202.157 219.287 204.003 204.239 195.635 197.989 204.886 196.579 194.346 194.486 207.736 194.788 195.747 194.655 193.057 193.708 200.283 195.342 193.707 216.945 192.657 191.605 191.492 186.593 186.815 193.054 191.276 186.919 188.204 183.761 220.198 234.474 218.116 209.783 212.496 210.764 206.921 206.215 203.347 202.148 201.450 203.363 199.693 206.491 204.031 211.251 197.802 195.825 195.328 197.631 201.110 199.560 201.135 196.283 189.834 191.913 198.721 191.984 196.235 189.469 188.378 185.185 187.213 205.808 185.596 186.862 183.993 185.442 218.913 188.740
tests/exhaustivity-S.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 356.2045, Sun Oct  1 21:40:28 CEST 2017, 4445.723 1279.520 929.403 678.177 605.130 654.403 619.068 506.045 464.808 445.020 415.677 463.446 536.049 429.517 398.655 385.662 377.592 374.757 369.816 383.243 4372.644 1197.548 1095.236 839.360 828.611 581.488 637.042 533.679 502.831 463.527 409.776 431.029 396.026 380.528 386.580 378.240 369.132 372.024 399.275 362.841 4367.265 1304.942 806.347 699.511 827.782 528.625 501.363 507.051 523.917 543.763 506.880 420.515 415.281 444.787 501.837 415.297 406.324 380.157 421.001 385.759 , 372.851 384.522 365.168 364.837 366.096 509.169 377.946 382.974 375.460 361.905 375.412 362.889 359.180 356.635 355.476 358.633 354.511 357.657 354.700 361.872 354.847 352.592 352.419 352.877 355.304 352.402 382.171 352.144 355.019 353.887 348.092 350.493 358.130 351.824 347.744 347.240 347.957 347.402 346.705 347.370 365.637 379.363 375.343 368.041 357.844 360.154 355.843 394.685 356.082 352.023 352.805 348.142 354.251 359.596 370.008 361.955 347.393 345.353 346.840 351.181 346.391 366.858 342.687 344.750 346.299 347.495 361.661 348.250 342.450 341.245 340.242 341.287 339.910 339.996 341.579 342.477 340.251 339.455 338.968 339.830 379.658 394.239 416.596 375.739 371.384 371.650 368.208 366.869 371.473 365.151 367.472 364.892 367.294 388.297 385.177 364.659 372.269 372.046 364.429 375.763 362.807 357.512 356.406 361.083 355.789 359.682 356.177 361.022 354.504 356.455 356.232 354.943 354.328 356.375 354.647 353.286 352.940 355.487 353.476 352.623
tests/exhaustivity-T.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 951.616, Sun Oct  1 21:45:35 CEST 2017, 5016.879 2501.942 1410.751 1311.145 1617.927 1346.238 1195.724 1168.479 1086.760 1047.033 1029.006 1185.963 1065.220 1004.540 1014.650 986.784 982.844 980.337 963.078 954.214 4921.828 1894.528 1567.042 1404.641 1569.704 1301.878 1150.291 1147.953 1103.044 1087.096 1067.694 1070.247 1052.493 1039.168 1073.086 1037.865 1044.982 1026.425 1040.715 1061.577 5263.952 2240.884 1359.882 1307.916 1776.232 1192.828 1153.235 1152.742 1183.825 1295.561 1145.045 1059.688 1042.547 1033.723 1022.924 1026.673 1014.272 1047.723 1044.095 1137.982 , 951.901 945.895 974.642 961.146 964.401 954.381 932.414 935.650 938.381 1004.835 932.454 946.583 930.016 937.409 951.480 958.679 934.042 920.090 918.951 921.922 1047.952 918.920 916.637 917.076 915.735 917.313 913.999 922.440 917.250 910.891 913.461 916.652 916.287 911.528 914.151 910.676 930.165 908.943 912.116 910.262 1048.748 1014.034 999.100 1025.960 1081.759 1240.618 1029.831 1199.088 981.593 978.809 979.903 972.057 971.544 975.891 994.940 970.167 1085.593 958.761 960.366 959.607 1017.029 955.632 955.076 1021.687 956.103 969.937 956.321 951.752 952.347 948.362 952.070 960.293 965.706 949.041 948.290 949.421 963.306 955.755 949.741 945.404 1014.642 985.293 984.974 977.486 979.521 1036.722 1036.463 977.232 1005.100 1068.182 962.885 953.342 951.867 1056.760 956.529 1007.384 961.518 945.587 944.488 943.660 944.686 941.026 940.897 940.931 948.651 934.784 944.108 945.731 934.619 986.503 941.421 941.102 936.294 941.839 936.312 949.586 946.687 940.018 937.450 932.603
tests/exhaustivity-V.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 1947.7845, Sun Oct  1 21:52:36 CEST 2017, 6944.639 3681.028 2905.026 3098.543 3137.436 2853.821 2830.567 2897.060 2733.158 2698.562 2779.017 2677.142 2837.543 2708.180 2683.026 2645.673 2667.232 2688.012 2641.778 2655.982 6488.150 2951.589 2466.727 2638.026 2493.314 2265.836 2536.984 2119.961 2089.710 2069.929 2024.767 2000.337 1994.888 1984.087 2002.260 1967.252 1977.638 1991.193 1962.530 1971.084 6287.427 3058.069 2397.517 2399.222 2599.990 2178.721 2175.147 2101.591 2264.906 2123.235 2058.297 2068.933 2123.897 2158.353 2136.422 2024.247 1989.447 1980.501 1978.854 1981.672 , 2668.765 2622.614 2640.753 2667.763 2601.967 2627.799 2606.464 2600.458 2624.774 2657.536 2621.456 2642.617 2611.888 2608.366 2599.808 2595.002 2615.248 2601.417 2595.152 2600.068 2645.821 2610.317 2631.733 2616.482 2618.776 2595.928 2597.259 2618.937 2604.329 2605.397 2597.130 2588.096 2581.894 2583.429 2589.218 2596.285 2593.332 2591.289 2582.507 2583.507 1998.807 1964.584 1941.947 1937.435 1938.641 1933.462 1926.516 1925.967 1938.998 1945.545 1924.929 1958.249 1924.769 2092.574 1925.331 1916.155 1914.289 1912.045 1916.245 1918.924 1907.920 1909.447 1909.236 1912.670 1906.108 1904.864 1908.814 1918.076 1906.199 1909.114 1908.858 1905.896 1903.175 1905.318 1916.700 1910.030 1935.503 1902.485 1907.990 1904.192 1984.725 1978.842 1961.953 1964.177 1956.513 1956.669 1961.461 1950.784 1953.218 1954.251 1942.528 1982.945 1946.740 1936.662 1940.206 1948.829 1940.242 1951.597 1940.384 1945.931 1929.746 1939.385 1937.968 1939.995 1928.462 1930.386 1935.948 1946.305 1939.252 1993.232 1937.310 1976.233 1930.582 1940.315 1977.729 1927.636 1932.187 1939.694 1940.799 1927.792
tests/implicitNums.scala, 3222, 2017-10-01T18:53:11Z, ea1400f, 888.4695, Sun Oct  1 21:53:36 CEST 2017, 7738.566 4089.678 2874.937 1615.669 1211.624 1232.355 1010.742 1269.238 1104.935 1192.491 , 933.381 928.964 913.784 1002.268 908.454 940.181 899.965 895.612 889.511 887.428 882.078 887.084 883.884 880.056 909.963 872.675 873.901 879.059 873.087 882.920
