dotty, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 34869.33, Thu Oct  5 20:15:37 CEST 2017, 81430.696 40997.136 37343.990 36472.118 36465.704 36211.840 35458.210 35328.471 35491.271 35739.844 , 36072.638 35170.758 35061.349 35354.674 36112.423 34769.780 35001.552 34968.880 36063.882 34551.652 34474.987 34608.848 35765.036 34470.315 34433.310 34729.890 35611.270 34351.772 34466.878 34614.003
tests/exhaustivity-I.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 190.8985, Thu Oct  5 20:34:53 CEST 2017, 4300.862 1519.765 810.620 708.348 603.622 549.526 543.011 378.131 336.845 394.514 342.955 395.929 286.930 295.868 340.269 233.551 231.285 215.410 213.226 223.107 4167.677 1496.061 1203.390 941.725 647.894 653.135 508.546 416.592 446.004 349.866 404.304 277.493 256.687 294.940 241.992 228.510 239.758 230.405 212.041 213.309 4189.433 1572.377 1242.089 1010.307 878.129 771.757 595.434 511.706 395.512 348.386 303.156 345.983 281.983 271.811 283.516 255.577 231.527 221.539 214.631 211.655 , 207.088 240.754 210.423 226.958 204.865 202.399 200.455 198.967 204.693 195.151 194.840 204.260 230.249 200.695 195.264 186.971 216.748 190.722 197.000 192.717 189.312 219.650 200.606 240.263 213.224 183.609 224.576 184.305 219.691 184.839 179.165 177.596 179.478 179.053 178.063 182.662 177.139 179.679 180.218 180.828 204.174 201.371 205.925 209.390 219.333 203.560 205.634 201.560 194.547 194.110 200.667 194.156 190.009 195.376 188.207 190.465 187.669 191.217 191.075 189.103 250.852 211.159 193.420 186.194 184.135 186.331 180.758 180.574 182.647 177.142 180.137 175.876 179.142 183.203 177.716 178.849 176.200 176.119 178.278 175.782 218.976 222.879 207.859 207.012 204.061 210.003 203.045 195.001 197.005 194.231 194.672 208.079 193.414 194.225 189.410 187.004 190.361 187.787 193.272 191.302 186.850 195.037 184.716 188.553 185.107 191.690 188.366 180.435 185.470 179.080 179.071 182.208 179.744 182.035 180.013 177.922 179.401 178.010 182.441 176.693
tests/exhaustivity-S.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 323.079, Thu Oct  5 20:38:40 CEST 2017, 4077.150 1314.224 760.652 640.294 561.004 570.370 576.210 458.173 467.872 504.410 392.181 368.673 356.626 356.412 347.348 369.310 342.927 340.263 335.029 338.953 4323.967 1106.889 858.086 627.260 555.625 537.323 443.316 395.756 467.483 417.901 350.772 387.524 346.241 329.040 324.577 321.511 319.154 317.384 316.575 323.591 4156.377 1271.987 927.488 819.832 554.452 548.797 541.946 525.971 469.289 476.771 399.277 398.791 391.251 386.901 375.716 407.500 377.493 404.797 367.869 368.433 , 341.852 346.175 335.829 334.857 342.725 337.722 331.248 331.679 334.511 336.499 329.739 325.912 327.152 324.626 322.504 321.969 321.890 320.753 321.355 326.656 367.767 343.283 319.759 325.011 323.168 337.548 317.526 317.913 316.438 318.947 322.383 318.953 315.909 314.915 316.218 314.782 322.990 320.287 320.001 315.356 313.643 316.718 309.153 307.097 316.964 319.343 307.557 303.342 309.686 320.477 311.827 300.507 300.478 299.638 299.617 300.235 300.808 302.775 299.058 298.795 297.318 296.473 296.364 299.208 296.623 295.371 296.734 295.628 293.146 295.498 297.099 299.613 308.624 295.044 295.414 293.025 291.648 292.614 299.948 304.525 367.412 366.990 386.320 365.480 365.158 362.717 366.199 359.239 356.767 355.988 354.078 354.389 353.624 354.374 352.463 377.816 352.371 350.506 347.320 355.893 350.247 348.853 346.953 347.566 349.216 351.822 348.659 349.171 347.515 347.650 345.009 348.044 350.261 347.606 345.502 346.363 347.409 345.373 343.655 347.294
tests/exhaustivity-T.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 931.1495, Thu Oct  5 20:43:43 CEST 2017, 4915.649 2384.203 1800.245 1306.837 1368.392 1164.088 1118.965 1083.185 1072.372 1256.255 1043.063 1025.546 1132.817 1032.360 923.973 986.247 942.450 892.257 887.662 1005.450 4898.396 2338.607 1378.920 1824.533 1610.490 1450.616 1220.270 1150.357 1124.005 1096.834 1135.911 1029.804 1011.986 1008.272 1006.305 993.848 1025.202 1305.247 1011.639 970.445 4918.182 1979.340 1529.338 1301.107 1662.575 1225.677 1406.931 1218.918 1144.299 1296.563 1402.090 1078.563 1061.559 1047.923 1052.694 1153.923 1090.578 1036.132 1029.203 1025.057 , 877.908 883.190 873.148 872.356 874.260 867.895 866.271 863.781 933.791 867.239 860.965 860.252 865.673 860.629 854.632 854.820 849.378 861.803 858.536 859.692 848.802 852.453 850.958 853.869 853.189 852.141 846.362 897.641 845.569 848.939 849.988 852.665 849.846 848.832 866.826 860.579 848.094 848.373 845.099 846.450 958.220 954.936 942.249 1007.500 939.534 937.686 944.128 932.581 932.107 936.200 958.897 939.567 957.636 934.838 926.427 934.755 922.438 917.660 935.616 920.994 922.655 917.837 922.667 921.342 1038.756 925.513 922.955 935.421 917.924 908.058 915.290 923.750 930.192 911.117 911.373 907.398 912.390 911.087 979.412 909.257 1014.234 1020.673 1054.899 1018.728 1012.611 1053.788 1022.328 1000.952 1007.026 1001.290 1032.884 1020.880 1018.997 1003.724 998.855 1008.689 1012.866 1002.925 1038.927 1047.634 1002.392 991.952 985.625 983.541 984.256 980.540 987.476 982.627 979.471 980.605 978.578 973.299 982.089 973.459 978.034 988.849 975.989 971.072 972.852 971.704
tests/exhaustivity-V.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 2232.3955, Thu Oct  5 20:50:49 CEST 2017, 6451.277 4099.861 3372.953 2738.802 3005.718 2663.873 2562.018 2536.335 2533.400 2571.846 2597.267 2468.389 2454.898 2488.053 2498.350 2501.182 2449.653 2493.193 2494.748 2614.075 6569.814 3457.153 2682.480 2617.997 2830.037 2768.423 2572.618 2627.443 2487.217 2377.720 2512.550 2296.421 2312.186 2290.844 2301.537 2339.097 2314.158 2272.842 2283.388 2320.168 6104.258 2979.543 2436.247 2489.410 2659.102 2170.363 2091.317 2071.772 2136.029 2088.235 2029.243 1975.012 1965.252 1958.893 2013.681 1948.042 1986.521 2002.110 1937.866 1928.530 , 2495.995 2452.992 2429.517 2445.466 2428.291 2428.029 2501.672 2421.935 2469.224 2445.207 2425.997 2411.953 2414.692 2412.789 2410.560 2402.999 2402.340 2412.338 2405.862 2438.983 2398.909 2408.846 2403.100 2413.527 2412.442 2569.036 2449.112 2396.554 2394.052 2399.585 2394.515 2388.075 2423.558 2396.835 2410.449 2416.301 2402.221 2436.944 2392.849 2398.095 2418.752 2310.851 2262.942 2260.174 2242.700 2242.172 2244.672 2232.066 2255.643 2273.931 2253.243 2230.310 2235.107 2223.887 2229.313 2228.583 2232.725 2238.246 2233.262 2233.203 2234.784 2226.921 2227.512 2226.279 2370.459 2215.472 2224.423 2219.480 2216.860 2215.711 2217.554 2232.868 2230.693 2225.372 2251.902 2213.012 2234.092 2229.585 2215.020 2222.860 1925.429 1970.832 1994.238 1953.666 1918.131 1916.619 1940.158 1916.937 1920.863 1907.814 1944.196 1911.179 1918.668 1925.754 1914.070 1930.917 1927.011 1907.898 1895.325 1909.532 1965.681 1905.620 1972.501 1906.997 1907.091 1914.938 1903.902 1935.935 1895.587 1895.074 1888.902 1902.659 1898.711 1895.036 1896.553 1888.805 1892.798 1893.946 1897.702 1882.100
tests/implicitNums.scala, 3265, 2017-10-05T17:52:52Z, 9a7ea3c, 806.4935, Thu Oct  5 20:51:49 CEST 2017, 6999.341 2948.942 2284.286 2705.129 1769.822 1529.871 1321.622 1000.266 911.670 890.605 , 858.543 844.329 816.175 817.544 808.572 810.820 819.480 804.415 802.826 809.760 794.851 792.740 815.748 811.186 802.416 797.734 786.434 790.004 794.673 789.599
dotty, 3265, 2017-10-06T17:23:23Z, f3e0a15, 35142.044, Fri Oct  6 19:46:18 CEST 2017, 77194.601 41207.400 38305.022 36884.338 36708.258 36774.034 35872.102 35728.721 35731.835 36028.462 , 36352.926 35522.990 35502.371 35494.388 36365.358 35490.556 35124.284 35094.486 36578.859 35159.804 34879.699 35090.041 36374.542 35053.486 34799.690 35054.267 36212.152 34976.687 34996.424 35097.145
tests/scala-library, 3265, 2017-10-06T17:23:23Z, f3e0a15, 5930.5455, Fri Oct  6 19:49:51 CEST 2017, 26388.962 10571.580 9169.667 7469.416 6840.574 6411.439 6332.163 6258.201 6518.330 6088.060 , 6430.860 6105.120 6002.931 5967.253 6016.029 5961.874 5930.686 5926.773 5930.405 5897.875 5964.133 5953.350 5878.801 5825.599 6027.835 5916.571 5849.940 5827.484 5786.898 5888.891
tests/implicit_cache.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 116.5255, Fri Oct  6 19:50:27 CEST 2017, 2856.040 700.269 567.018 458.564 379.143 286.213 217.109 212.603 175.097 140.909 , 135.172 147.212 140.134 124.731 124.597 121.338 128.127 122.015 116.768 118.958 116.283 112.759 115.198 112.043 113.506 110.348 111.615 111.248 111.608 109.363
tests/implicit-scope-loop.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 128.633, Fri Oct  6 19:51:04 CEST 2017, 2830.356 542.686 612.674 402.054 416.726 291.647 213.827 192.437 159.274 197.342 , 155.553 136.220 132.304 127.918 130.093 127.388 129.895 129.348 127.412 134.953 138.101 119.663 118.687 119.202 146.530 159.677 127.867 115.791 115.528 115.050
tests/i1535.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 151.6685, Fri Oct  6 19:51:41 CEST 2017, 3328.692 712.004 550.161 587.007 522.670 445.620 275.186 223.710 204.051 221.035 , 245.463 191.190 162.294 161.281 156.467 153.670 153.585 153.430 150.133 151.569 150.155 144.971 165.420 149.727 151.768 142.381 146.363 140.150 142.309 150.226
tests/i1687.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 98.963, Fri Oct  6 19:52:17 CEST 2017, 2741.336 474.025 406.877 303.015 267.307 200.781 145.843 131.508 143.321 111.733 , 107.892 108.110 107.799 104.149 100.938 101.328 101.016 98.308 100.522 99.618 100.411 96.645 94.050 96.388 93.681 95.311 92.433 92.948 93.617 93.822
tests/Vector.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 578.902, Fri Oct  6 19:55:55 CEST 2017, 6468.926 2401.664 2365.697 1761.149 1856.565 1703.639 1556.985 1473.952 1434.289 1295.775 973.099 886.373 832.050 736.153 694.685 694.129 674.604 778.528 650.566 811.901 7518.492 2190.965 1965.539 2092.671 1882.865 1717.924 1514.521 1052.809 1053.506 1131.886 978.891 719.294 764.149 681.590 660.870 649.677 643.304 646.693 622.214 617.061 7238.594 2242.544 1919.787 2081.832 1267.356 1173.468 1495.361 1270.327 1064.253 875.054 804.622 746.879 685.431 669.914 641.518 647.417 656.962 633.634 631.410 635.513 , 690.385 628.405 802.150 622.730 629.481 601.870 605.531 623.406 601.522 584.064 579.651 589.423 584.800 576.439 579.791 585.802 575.583 579.536 587.587 575.450 565.772 564.955 576.027 571.085 563.499 570.650 558.633 562.565 561.579 566.163 623.034 716.765 612.767 647.843 631.605 596.073 606.593 598.311 577.594 572.277 567.793 580.587 587.771 598.213 578.268 627.127 558.767 559.946 573.087 551.505 551.567 550.538 566.557 558.074 548.784 545.958 597.257 569.223 548.852 553.455 622.814 608.498 636.439 609.661 668.030 594.284 587.154 608.064 572.093 564.377 580.363 562.195 562.382 595.331 620.643 654.477 604.912 584.648 553.046 549.154 548.778 560.627 551.961 639.675 547.670 552.698 547.127 547.820 553.258 544.186
tests/empty-class.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 78.1775, Fri Oct  6 19:56:29 CEST 2017, 2381.016 347.882 250.394 278.175 234.673 188.522 156.913 128.787 116.009 88.857 , 82.432 82.884 83.394 83.411 80.054 84.924 78.273 79.814 77.862 79.279 77.025 78.478 75.177 76.111 78.082 77.272 75.848 76.199 74.026 75.965
tests/empty-object.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 79.2575, Fri Oct  6 19:57:04 CEST 2017, 2349.376 377.897 315.020 259.439 208.572 135.929 126.684 110.663 115.403 97.482 , 85.389 83.782 82.882 81.415 81.821 84.503 78.905 79.947 77.754 77.477 79.015 83.929 75.031 76.368 79.500 80.588 74.283 76.052 73.860 75.123
tests/empty-file.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 61.4375, Fri Oct  6 19:57:38 CEST 2017, 2030.672 265.123 239.960 175.170 174.994 155.386 126.507 108.124 93.445 68.472 , 66.020 64.275 64.421 62.670 63.025 64.117 61.383 62.776 60.726 61.267 60.150 61.492 60.904 61.116 61.075 60.553 62.319 60.348 62.118 59.701
tests/patmatexhaust.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 307.6805, Fri Oct  6 20:01:35 CEST 2017, 4991.822 1683.402 1421.277 1212.884 1183.418 1069.773 799.200 669.051 596.099 588.405 731.521 594.178 507.713 451.157 411.379 403.739 388.526 421.281 385.564 356.892 5648.522 2055.270 1564.952 1405.019 1083.217 920.701 818.531 607.585 594.842 645.173 695.609 598.996 631.421 622.785 573.577 557.832 447.230 384.786 359.668 358.248 5197.412 1853.346 1480.818 1212.764 1076.042 823.550 782.818 901.736 802.289 738.985 685.200 642.909 599.901 434.274 388.066 424.592 371.192 425.364 438.953 350.143 , 361.084 352.109 359.078 346.538 352.627 343.461 336.703 330.404 339.738 328.749 326.116 313.964 324.081 349.274 338.787 321.376 317.761 306.574 310.638 303.088 332.360 304.396 293.265 293.922 363.025 306.713 292.277 297.597 288.587 346.167 301.579 290.527 290.752 290.956 289.295 288.027 281.730 286.810 298.161 319.431 342.272 406.959 409.329 337.941 330.967 325.339 319.826 325.348 357.450 318.147 308.493 306.809 319.554 336.220 324.029 306.868 364.606 305.842 312.158 304.385 294.899 306.425 296.122 313.418 298.592 293.276 297.528 322.620 301.742 293.440 292.985 285.981 288.949 283.765 282.922 287.559 290.926 282.975 284.575 284.387 344.965 335.267 341.343 329.985 326.202 325.841 316.807 317.278 347.599 351.019 318.529 329.723 316.736 359.414 305.883 337.542 315.909 305.244 304.593 302.850 304.904 299.898 299.526 350.256 297.076 350.373 316.880 311.482 296.409 296.203 294.199 289.415 294.673 292.195 292.979 290.700 283.886 284.389 289.845 301.054
tests/exhaustivity-I.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 185.26, Fri Oct  6 20:05:08 CEST 2017, 4116.989 1531.239 1216.836 818.993 602.947 532.535 505.880 515.562 417.144 373.245 389.703 288.197 263.321 252.240 260.166 230.375 233.337 227.918 207.161 264.434 3911.078 1130.788 1092.404 919.017 756.972 573.565 475.061 384.802 363.748 292.129 286.131 263.052 254.889 255.541 282.048 339.542 298.120 253.276 215.296 211.554 3932.239 1556.602 1224.295 849.553 734.658 570.670 435.972 354.482 337.683 424.681 345.770 288.404 251.129 323.678 270.538 224.058 278.114 210.017 208.681 207.487 , 208.540 207.650 197.595 201.981 218.613 201.406 206.151 187.903 195.871 198.638 208.390 195.976 222.179 198.776 206.227 185.611 188.790 186.551 192.431 225.097 204.956 191.602 181.890 215.889 187.583 193.713 223.763 178.718 174.622 176.952 173.344 173.815 174.218 175.627 178.506 172.116 171.681 172.414 169.897 171.574 207.579 202.509 201.294 212.279 196.737 197.304 193.442 189.661 192.961 187.515 189.572 186.739 185.296 186.564 183.367 185.660 182.907 181.451 189.811 182.982 185.681 180.620 178.295 182.816 178.772 180.536 180.959 186.202 178.468 174.259 177.373 175.684 175.827 181.835 170.207 170.189 174.337 171.572 172.675 170.827 198.261 198.400 202.102 195.640 194.563 233.217 190.505 203.750 186.806 185.224 187.257 183.752 186.862 181.627 180.974 195.288 183.897 190.658 184.967 181.495 184.612 178.982 178.612 177.677 176.446 208.134 201.613 207.583 179.444 181.479 173.780 179.360 178.615 171.872 171.116 172.609 169.319 173.130 169.107 171.796
tests/exhaustivity-S.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 305.798, Fri Oct  6 20:08:51 CEST 2017, 3784.978 1187.087 786.670 816.532 543.175 605.426 543.225 556.660 443.596 485.772 371.371 346.423 340.360 336.390 335.097 331.666 328.106 324.672 324.230 321.688 3878.288 1020.083 784.513 836.713 749.576 616.117 463.072 508.973 393.954 378.075 365.661 363.845 353.637 345.154 348.007 344.605 340.370 337.814 337.426 335.470 3960.560 1027.985 1087.532 894.750 653.506 624.965 534.703 414.699 333.947 413.323 451.492 359.862 326.162 290.071 285.148 283.395 276.124 278.775 275.415 277.520 , 321.517 320.882 339.067 327.870 330.333 326.019 313.655 318.777 313.081 312.485 308.343 306.378 307.807 306.612 305.141 303.697 303.537 303.807 308.073 302.281 301.450 301.218 300.727 304.990 306.357 305.239 301.385 303.209 306.697 309.262 298.217 299.159 303.467 312.165 369.583 302.279 297.412 297.289 303.188 297.308 345.075 335.911 329.701 337.008 329.670 325.647 325.407 324.717 324.569 321.728 323.545 321.275 324.615 326.814 322.314 314.020 314.778 314.244 315.951 318.408 317.671 313.390 319.075 322.247 315.369 312.335 321.533 316.387 311.544 311.388 311.946 310.293 309.809 313.484 364.262 341.123 311.856 307.907 308.830 307.576 272.410 272.758 268.597 274.373 267.189 266.913 263.728 264.985 263.933 264.809 263.612 269.351 293.306 271.766 268.265 258.603 257.381 262.708 256.907 257.208 256.546 257.156 262.495 263.617 255.723 268.257 258.637 257.241 260.166 254.062 254.321 253.586 252.409 253.442 254.636 251.810 253.015 252.836 253.466 253.976
tests/exhaustivity-T.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 882.7725, Fri Oct  6 20:14:03 CEST 2017, 4617.858 1850.713 1461.595 1560.800 1692.687 1253.401 1153.980 1124.148 1035.082 1119.932 1002.868 1036.848 1024.011 973.812 1001.138 945.733 945.551 934.916 928.745 922.275 4810.774 1825.820 1425.945 1391.296 1558.707 1239.704 1397.251 1116.799 1146.239 1035.173 1009.404 1020.131 1105.988 1179.006 969.554 934.131 918.378 917.883 909.545 897.419 4740.555 1806.684 1451.275 1364.101 1484.145 1192.309 1110.752 1130.396 1045.177 1070.089 1030.254 1094.110 1104.595 1077.025 1156.722 938.296 944.471 938.660 911.578 912.110 , 914.380 952.710 914.191 957.526 937.887 954.460 896.656 894.644 892.363 890.673 899.688 893.095 891.143 881.823 880.693 891.729 896.135 891.172 974.160 883.328 884.426 883.454 885.390 884.555 938.736 892.943 904.001 887.077 873.053 874.094 876.342 873.832 871.259 875.136 875.791 880.001 877.807 872.176 871.788 870.789 920.913 960.722 935.297 1124.189 901.025 901.220 893.193 888.554 897.588 889.250 883.336 903.671 880.083 886.804 879.394 881.626 882.727 884.222 868.117 874.317 866.896 872.810 888.590 876.466 887.976 881.240 863.989 863.332 864.498 875.120 863.037 861.756 890.623 860.865 859.642 867.539 860.698 860.424 864.133 861.905 999.527 927.561 1027.963 897.003 891.008 890.079 891.481 886.085 882.818 888.393 889.521 915.233 881.950 891.965 899.756 879.163 876.559 879.950 873.240 906.019 880.573 870.670 872.009 869.779 874.735 872.721 872.009 870.222 871.767 863.758 869.379 870.287 882.835 869.831 868.284 867.729 868.585 896.759 871.401 867.203
tests/exhaustivity-V.scala, 3265, 2017-10-06T17:23:23Z, f3e0a15, 1940.256, Fri Oct  6 20:20:26 CEST 2017, 5280.511 2914.215 2480.612 2352.240 2322.687 2165.809 2259.820 2140.774 2060.609 2084.314 2058.465 2037.242 2064.352 2042.608 2036.294 2009.600 1996.837 1977.997 1962.298 1961.096 5238.870 2821.548 2353.000 2509.634 2424.610 2224.098 2209.116 2128.883 2310.025 2114.843 2112.978 1980.335 1975.453 1968.605 2064.880 1984.624 2045.112 2021.976 1976.283 1964.432 5306.496 2996.518 2597.179 2544.779 2850.153 2589.316 2331.869 2289.832 2383.755 2323.511 2265.871 2177.490 2141.638 2102.867 2092.549 2133.734 2086.938 2074.314 2092.922 2070.951 , 1960.569 1984.364 1986.709 1941.591 1957.924 1963.698 1931.291 1928.074 1940.433 1925.132 1922.498 1928.158 1931.377 1927.833 1931.629 1944.923 1930.822 1930.835 1933.649 1973.424 1937.001 1944.312 1933.452 1937.073 1940.079 1943.416 1923.251 1943.897 1927.799 1921.722 1918.479 1927.991 1922.733 2216.142 2152.001 1915.321 1918.708 1912.890 1914.021 2146.441 2206.068 2023.259 1955.707 2109.955 1917.073 1923.159 1919.143 1918.402 1915.305 1937.343 1927.211 1917.803 1928.888 1913.693 1915.314 1909.979 1904.809 1902.586 1900.935 1911.967 1911.046 1904.292 1906.603 1910.908 1917.603 1918.113 1917.220 1966.026 1893.101 1890.337 1887.129 1918.770 1934.087 1920.577 1896.480 1937.777 1923.171 1900.856 1894.592 1895.308 2071.367 2118.441 2082.994 2098.592 2083.461 2097.788 2060.983 2053.464 2058.727 2071.073 2051.443 2044.136 2052.291 2042.958 2043.473 2034.462 2049.169 2041.483 2039.067 2047.078 2028.626 2035.021 2044.527 2045.930 2040.766 2046.330 2036.941 2056.688 2069.059 2052.417 2060.396 2054.071 2027.854 2049.836 2042.173 2034.377 2039.309 2027.005 2043.971 2032.638
