dotty, 3216, 2017-10-01T08:18:38Z, be01457, 38611.7745, Sun Oct  1 10:43:01 CEST 2017, 77917.790 45907.031 41911.564 40066.368 40077.684 39184.416 39311.803 38981.980 38844.419 38950.212 , 38790.126 38912.730 38917.422 38626.314 38717.089 38744.181 39570.663 38787.840 38662.358 38525.557 38412.993 38543.380 38556.777 38448.596 38597.235 38513.466 38648.945 38421.476 38464.337 38485.324
tests/exhaustivity-I.scala, 3216, 2017-10-01T08:18:38Z, be01457, 215.9615, Sun Oct  1 11:02:32 CEST 2017, 4383.557 1457.013 1134.154 742.210 673.550 609.251 658.966 600.492 427.409 344.141 341.499 306.644 293.522 278.137 271.131 265.355 262.580 252.537 261.300 348.574 4399.995 1520.980 1027.732 1036.868 868.231 751.221 471.664 482.546 440.047 339.260 324.771 310.977 347.612 276.115 309.602 267.701 256.629 244.299 243.168 237.434 4278.607 1413.799 1238.349 1071.783 753.160 581.842 517.948 463.783 444.854 371.667 321.071 337.547 304.499 276.261 266.243 280.900 256.539 260.015 239.380 238.784 , 297.830 243.060 237.471 238.464 227.599 229.107 226.904 237.333 220.839 242.591 232.690 218.141 218.553 218.101 219.024 223.429 216.168 215.547 213.979 214.379 217.327 231.545 217.074 220.890 249.857 271.562 209.324 209.811 207.636 212.445 212.694 225.985 207.251 208.080 206.693 203.102 205.205 203.950 208.033 204.480 231.661 227.936 229.104 226.544 227.647 222.852 221.146 219.769 218.001 219.084 216.497 218.472 216.187 214.330 213.727 212.898 212.709 212.841 215.606 211.665 229.968 221.254 216.673 214.157 212.429 209.641 208.108 209.348 211.169 211.662 215.073 208.766 206.195 206.657 204.715 204.149 204.000 203.869 203.797 211.925 252.880 228.064 226.946 224.485 234.518 267.880 227.326 223.860 216.661 222.947 221.555 221.023 213.629 214.321 210.615 212.953 210.411 212.454 215.161 211.964 212.383 214.625 232.155 231.159 215.755 208.752 233.858 210.683 219.924 207.682 203.563 228.122 212.215 200.692 202.209 200.333 202.525 221.737 233.852 217.883
tests/exhaustivity-S.scala, 3216, 2017-10-01T08:18:38Z, be01457, 355.699, Sun Oct  1 11:06:18 CEST 2017, 4799.496 1099.906 797.833 878.709 682.192 503.209 546.935 442.804 562.881 419.968 412.387 403.142 390.923 385.376 380.209 377.804 372.906 372.501 372.686 382.787 4809.198 1121.157 886.500 759.679 750.301 552.943 519.877 574.283 523.065 405.864 380.833 373.484 459.128 355.935 416.983 370.123 351.130 347.977 359.510 339.274 4440.764 1280.374 829.809 675.513 696.854 593.946 621.454 468.087 452.762 426.364 416.868 404.545 458.297 419.944 391.036 386.326 384.373 386.939 381.251 410.380 , 377.435 374.024 367.319 361.650 361.686 361.185 361.445 369.796 376.630 358.571 374.264 365.951 356.690 352.164 356.120 354.785 351.361 354.873 352.938 357.800 350.145 349.362 349.266 351.513 355.552 353.925 348.168 347.309 349.654 352.879 355.846 356.935 346.602 348.890 350.991 384.003 350.112 351.122 353.523 347.228 342.605 337.218 337.176 335.061 333.697 330.847 330.436 357.693 328.677 328.624 330.792 321.845 325.381 321.493 319.826 321.750 319.915 318.883 319.189 317.392 322.134 319.695 319.982 317.168 318.294 317.441 317.093 315.924 314.806 315.365 314.212 314.431 315.493 315.328 313.175 315.611 317.138 314.811 356.516 330.729 420.242 396.586 384.668 378.276 389.009 402.659 386.903 373.585 369.736 380.182 431.685 373.396 369.280 368.551 368.445 385.580 373.177 377.800 364.920 365.857 366.150 362.833 365.173 377.524 372.182 367.741 363.781 362.006 363.975 369.168 364.460 373.459 358.970 361.660 358.865 360.373 362.827 359.986 367.490 360.042
tests/exhaustivity-T.scala, 3216, 2017-10-01T08:18:38Z, be01457, 975.3505, Sun Oct  1 11:11:17 CEST 2017, 5004.133 1887.129 1557.922 1394.750 1651.363 1610.729 1236.498 1236.207 1167.083 1106.372 1080.063 1084.832 1055.152 1104.987 1075.398 1065.636 1072.351 1031.104 1023.562 1018.751 5056.606 1969.252 1432.299 1459.587 1467.060 1169.816 1080.739 1475.847 1166.789 1036.304 1048.380 1102.899 990.820 1001.406 956.848 948.840 1163.450 966.037 945.727 944.079 5328.088 2232.277 1628.306 1459.848 1489.428 1216.415 1175.738 1232.269 1507.638 1131.544 1093.629 1084.844 1117.727 1066.602 1397.810 1071.916 1038.695 1039.559 1042.052 1026.895 , 1012.200 1009.416 1014.210 1027.564 1000.765 992.870 1103.629 987.847 1002.672 983.473 979.601 980.087 981.259 971.652 976.955 972.130 973.271 970.568 967.397 965.826 1031.815 989.650 979.841 987.594 963.387 973.597 971.411 969.087 968.899 963.102 961.309 958.917 956.003 958.649 968.936 983.963 954.739 965.541 972.141 1005.434 976.901 920.055 943.135 921.536 912.005 913.582 909.794 912.544 911.343 900.967 901.476 896.671 895.885 896.128 905.883 895.996 897.206 895.517 1004.052 899.127 956.284 935.401 891.604 894.871 894.818 885.822 921.575 903.946 891.624 888.403 887.817 888.416 899.349 900.221 883.313 886.906 883.845 885.067 886.516 882.364 1028.354 1025.156 1015.549 1018.754 1055.960 1028.697 1001.830 1002.470 1016.590 1021.741 1011.651 1003.614 1000.364 1004.649 1008.638 1017.454 1010.399 1067.915 1011.362 1015.379 1014.506 989.423 985.033 983.681 980.385 982.211 981.532 985.645 982.833 979.251 981.498 999.463 977.006 972.430 975.070 975.631 1032.246 982.140 985.000 984.829
tests/exhaustivity-V.scala, 3216, 2017-10-01T08:18:38Z, be01457, 1964.2635, Sun Oct  1 11:17:52 CEST 2017, 6904.239 3335.919 2757.143 2704.722 3096.602 2519.615 2491.783 2462.196 2428.077 2388.406 2385.473 2386.761 2364.641 2354.377 2347.911 2355.160 2350.955 2337.666 2346.712 2339.354 6633.713 2990.247 2379.870 2180.644 2366.222 2013.053 2216.682 2045.890 1892.321 1912.118 1873.367 1863.714 1844.404 1837.957 1870.280 1920.696 1833.859 1826.814 1815.152 1811.071 7076.097 3018.401 2457.551 2459.746 2448.409 2220.725 2178.250 2122.501 2178.137 2164.866 2198.923 2161.623 2037.321 2024.861 2048.568 2020.897 2004.288 2065.985 2004.676 1992.287 , 2352.063 2373.728 2354.439 2335.173 2304.103 2329.321 2320.645 2307.409 2295.755 2290.021 2288.803 2288.132 2282.180 2292.517 2283.898 2280.210 2306.673 2289.089 2284.788 2292.714 2282.334 2274.798 2280.449 2280.055 2281.696 2278.106 2291.046 2328.683 2294.645 2296.037 2290.197 2281.668 2304.945 2295.606 2274.926 2276.515 2284.033 2280.558 2274.121 2287.468 1823.520 1806.960 1796.605 1805.720 1786.035 1793.940 1796.704 1800.637 1776.124 1782.174 1787.537 1776.953 1774.110 1777.986 1776.692 1775.663 1769.407 1817.489 1956.995 1788.014 1786.994 1778.685 1767.536 1772.366 1776.012 1767.500 1783.485 1783.253 1764.999 1770.269 1764.194 1774.315 1764.289 1765.273 1776.379 1763.256 1765.457 1771.930 1772.326 1806.020 1989.247 2211.215 1995.446 2274.911 1983.016 2002.503 1964.630 1962.387 1976.872 1957.812 1959.618 1963.158 1965.110 1959.211 1986.923 1986.825 1962.038 1986.477 1986.505 1963.701 1949.816 1963.384 1975.107 1951.061 1948.439 1956.408 1954.186 1967.436 1966.916 1963.265 1943.859 1964.933 1955.938 1951.630 1950.007 1963.897 1972.114 1979.299 1959.689 1966.229
tests/implicitNums.scala, 3216, 2017-10-01T08:18:38Z, be01457, 914.333, Sun Oct  1 11:18:53 CEST 2017, 7168.057 2961.878 2804.360 1549.816 1409.436 1206.973 1646.793 1236.657 1036.075 1009.119 , 973.059 1093.265 979.100 948.582 928.734 919.529 946.074 911.759 917.409 918.901 914.062 913.080 907.954 907.344 914.604 897.717 903.160 898.647 896.817 897.218
dotty, 3216, 2017-10-01T09:18:53Z, 6fd9569, 38006.024, Sun Oct  1 11:43:08 CEST 2017, 80871.842 44114.187 42289.641 40440.311 39347.938 38601.857 38435.710 38242.552 38031.211 38724.691 , 38389.953 38201.531 38209.759 38015.452 38209.308 37887.168 38276.079 37940.389 37831.868 38116.987 38001.250 38142.592 38017.073 37830.047 38010.798 37763.210 37748.772 37985.616 37860.045 37838.920
tests/scala-library, 3216, 2017-10-01T09:18:53Z, 6fd9569, 6479.083, Sun Oct  1 11:46:57 CEST 2017, 25409.679 11943.718 10126.098 7772.471 7415.674 7181.939 6805.982 6686.967 6729.208 6657.546 , 6633.954 6674.994 6602.591 6537.021 6749.233 6778.705 6712.202 6489.284 6468.882 6802.501 6466.051 6507.349 6452.562 6435.871 6385.687 6443.108 6396.164 6317.806 6440.561 6382.169
tests/implicit_cache.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 124.011, Sun Oct  1 11:47:34 CEST 2017, 2953.802 516.746 571.053 376.897 304.822 298.366 202.990 222.132 213.415 155.251 , 151.949 140.259 137.368 136.905 145.214 135.926 132.170 124.123 124.191 124.632 123.465 121.018 119.384 117.899 123.899 118.111 116.409 116.326 117.225 115.685
tests/implicit-scope-loop.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 126.276, Sun Oct  1 11:48:10 CEST 2017, 3129.814 546.691 419.489 373.400 263.281 264.035 215.489 170.154 166.840 157.349 , 176.945 180.241 151.191 137.242 135.215 140.245 129.893 128.051 126.576 125.609 125.976 127.071 122.573 121.825 120.548 118.609 119.284 119.137 119.104 118.783
tests/i1535.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 165.2195, Sun Oct  1 11:48:48 CEST 2017, 3797.396 770.904 715.986 580.105 525.755 445.760 353.850 265.848 255.098 259.404 , 303.354 251.404 210.488 177.380 171.326 175.252 168.953 165.605 164.435 165.677 164.834 171.480 160.414 159.634 158.075 153.325 157.627 154.402 155.971 154.541
tests/i1687.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 104.0095, Sun Oct  1 11:49:24 CEST 2017, 2906.228 541.191 479.604 385.566 277.397 195.078 154.340 144.251 136.959 150.957 , 133.211 118.211 114.292 106.587 106.770 105.479 102.626 135.903 102.473 100.376 100.110 98.715 100.781 99.508 98.925 97.470 105.393 111.278 136.244 96.827
tests/Vector.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 635.4735, Sun Oct  1 11:53:15 CEST 2017, 6753.733 2423.043 1835.719 1612.870 1528.081 1417.802 1324.960 1306.522 1213.266 1130.771 1158.199 916.197 860.578 1045.373 1081.742 761.657 726.788 716.697 757.733 704.800 7327.028 2582.230 2017.925 2182.101 1565.955 1316.722 1235.786 1211.438 990.587 889.367 1295.168 1097.120 910.982 757.374 728.457 714.091 703.133 734.414 797.338 722.344 7937.728 2191.538 2286.791 1851.738 1448.366 1349.402 1758.289 1587.464 1020.136 988.253 1102.377 1206.094 855.139 804.940 697.073 687.436 678.753 672.525 667.493 681.108 , 705.521 694.515 693.558 662.900 663.130 662.256 648.245 654.559 645.317 646.368 638.063 639.418 666.659 651.887 636.954 626.425 618.836 621.020 622.575 612.836 624.070 607.285 635.932 676.059 686.753 603.092 598.240 593.663 604.885 597.164 669.885 797.165 832.482 658.265 673.784 646.486 652.859 645.784 647.101 643.091 635.015 632.387 640.824 639.244 675.802 726.514 653.764 640.483 663.725 609.958 603.702 604.996 605.290 699.917 612.121 604.721 595.623 606.898 597.219 597.438 735.564 753.270 652.179 691.000 710.073 673.286 692.583 677.634 632.803 626.465 612.027 614.863 610.787 610.810 603.002 608.592 609.763 602.401 619.919 675.062 605.638 604.271 601.494 621.044 602.839 596.773 587.775 613.218 608.309 598.070
tests/empty-class.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 81.4395, Sun Oct  1 11:53:50 CEST 2017, 2571.278 309.753 278.541 220.076 220.504 181.039 125.720 111.272 101.769 89.245 , 91.905 95.353 84.137 84.887 83.026 81.334 81.712 80.444 82.488 81.506 84.567 81.373 79.163 78.212 77.875 85.112 77.572 76.877 77.110 77.582
tests/empty-object.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 81.0495, Sun Oct  1 11:54:25 CEST 2017, 2494.669 342.654 261.851 251.547 222.946 165.642 129.280 104.023 95.167 91.390 , 87.888 84.073 83.679 82.944 91.294 86.018 80.547 80.591 80.242 81.508 83.179 78.300 77.211 76.703 86.643 88.092 80.531 77.212 75.875 76.379
tests/empty-file.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 65.384, Sun Oct  1 11:54:59 CEST 2017, 2130.822 270.645 194.174 145.868 125.230 154.096 108.427 117.098 92.356 73.817 , 75.035 66.926 66.747 66.914 66.066 66.278 64.089 67.093 65.214 63.240 65.554 63.721 66.711 62.492 65.569 62.156 62.106 62.490 61.946 62.212
tests/patmatexhaust.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 334.251, Sun Oct  1 11:58:59 CEST 2017, 5400.612 1999.702 1455.317 1135.068 1352.010 1143.352 867.085 835.811 743.304 733.612 694.032 574.919 498.096 462.665 514.886 605.345 428.234 447.622 410.498 380.438 5289.380 1678.582 1353.709 1143.339 1161.385 1258.797 1098.388 1059.217 875.947 851.878 724.288 611.876 516.782 649.854 556.759 439.059 425.823 435.365 446.201 406.702 5600.328 1921.678 1629.639 1238.622 1101.064 865.991 792.115 680.150 803.729 776.915 746.284 608.424 652.477 614.302 459.500 431.418 413.527 396.428 388.282 374.019 , 384.863 377.543 368.999 367.571 445.108 378.376 406.327 416.912 391.819 396.890 354.174 345.996 336.636 330.848 340.715 336.142 331.754 330.565 326.201 324.471 323.308 328.608 319.868 320.667 314.634 324.277 374.483 316.518 313.181 313.085 324.551 314.159 314.212 312.551 311.995 311.456 304.720 304.732 303.361 307.185 393.337 388.171 379.964 466.568 490.970 388.546 461.546 380.095 378.138 352.694 353.442 348.240 346.703 339.374 336.845 342.212 334.109 339.860 334.044 330.958 335.021 327.723 325.518 465.340 359.616 319.654 320.179 337.923 323.062 319.406 318.677 316.179 312.625 318.898 316.675 312.203 309.907 305.604 308.190 303.460 372.976 448.168 439.324 366.183 364.610 360.301 397.180 438.501 343.410 344.872 347.729 349.094 340.068 334.393 361.724 353.094 355.826 321.088 320.592 319.895 427.142 384.585 312.360 309.923 324.039 335.271 338.550 309.436 312.431 334.454 325.163 353.407 314.417 301.600 301.726 303.729 299.055 310.457 296.777 297.690
tests/exhaustivity-I.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 200.93, Sun Oct  1 12:02:37 CEST 2017, 4578.308 1427.774 1227.916 854.625 725.103 577.174 513.356 541.121 443.136 350.584 325.102 296.418 276.087 266.742 258.079 242.843 253.995 269.031 228.532 225.919 4650.424 1191.230 1164.169 794.144 736.470 545.400 430.738 384.029 353.646 341.642 304.724 277.001 270.652 255.984 342.356 240.203 242.803 227.046 317.077 266.569 4162.443 1262.364 963.639 694.221 694.433 517.243 489.892 415.393 465.687 368.715 422.006 295.614 302.624 357.894 301.167 252.156 236.986 234.643 230.947 242.895 , 219.439 216.239 212.762 214.310 241.764 251.336 226.053 202.666 201.067 205.957 200.485 200.884 197.146 205.110 197.191 197.593 205.291 196.321 197.597 262.573 200.976 202.531 218.016 216.735 194.116 193.699 193.876 212.322 201.630 195.709 188.374 184.844 187.774 189.003 214.756 185.838 187.994 195.719 186.872 186.226 253.348 213.055 207.484 207.914 209.309 201.151 201.202 196.428 202.135 199.902 196.408 197.524 194.085 192.841 193.171 192.291 192.724 193.017 232.734 289.684 234.836 192.150 190.412 189.980 188.674 203.975 186.248 185.843 183.739 182.719 181.989 181.420 183.396 183.570 183.418 184.782 178.736 179.880 181.760 181.625 234.274 230.114 224.278 214.411 213.816 212.098 208.027 207.299 206.232 208.575 257.372 207.014 203.888 207.102 203.477 203.772 202.173 201.127 201.506 200.060 201.212 198.428 201.964 261.329 199.029 205.251 203.085 202.632 194.656 196.513 192.573 193.670 192.432 191.934 189.813 192.927 216.859 191.070 274.171 214.000
tests/exhaustivity-S.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 324.981, Sun Oct  1 12:06:31 CEST 2017, 5008.706 1409.183 732.649 763.600 728.700 686.513 474.422 416.985 424.813 551.060 453.433 367.471 353.968 353.762 348.315 340.863 345.949 356.340 336.542 346.895 4397.586 1551.300 1095.598 1019.364 1079.961 970.367 751.944 641.815 573.505 458.748 495.511 442.321 440.358 410.652 406.921 404.255 431.015 414.754 425.050 391.060 4800.313 1344.551 711.550 863.985 605.200 485.281 530.519 459.166 501.845 488.118 394.774 435.703 348.530 355.847 333.605 336.101 335.601 333.881 322.489 330.962 , 344.466 337.489 334.261 333.048 330.136 335.482 335.864 328.540 326.973 326.165 325.117 325.468 324.845 330.141 321.013 323.023 321.881 319.396 320.834 320.227 324.654 365.004 322.851 318.538 319.445 316.720 317.313 316.615 315.843 315.562 315.628 316.001 317.842 319.235 354.997 317.505 323.351 319.652 312.860 314.350 389.163 402.464 400.699 513.921 387.961 398.946 393.842 401.168 379.028 376.382 376.971 376.512 375.425 375.829 375.587 373.719 383.906 376.284 371.316 375.422 370.963 369.671 371.406 383.315 374.728 379.892 409.934 402.139 371.605 366.417 366.599 364.481 377.163 371.198 372.744 373.863 372.939 368.354 366.086 366.014 328.417 319.369 345.276 340.777 318.098 313.811 322.273 324.730 313.732 309.171 308.625 311.149 304.889 308.573 334.774 314.145 313.905 303.905 319.037 307.840 312.300 303.809 301.443 311.100 312.747 347.273 307.175 302.558 304.562 304.712 302.978 299.271 318.744 301.970 300.683 308.733 301.599 307.534 320.400 303.219
tests/exhaustivity-T.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 895.2245, Sun Oct  1 12:11:44 CEST 2017, 4912.303 2102.084 1466.903 1304.022 1422.303 1192.005 1167.196 1133.834 1273.873 1185.636 1109.040 1039.628 1090.615 1020.849 970.665 1046.498 941.459 942.000 927.905 1301.926 4854.156 2455.291 1417.098 1182.917 1447.482 1178.101 1105.281 1031.477 1058.255 1150.208 1084.216 962.982 1005.988 1059.893 919.527 927.097 944.679 927.822 891.988 882.237 5082.139 2008.708 1761.825 1367.369 1425.331 1173.498 1174.255 1176.755 1151.276 1118.858 1103.223 1071.373 1029.606 1017.931 1011.126 1041.252 1003.595 1000.785 1073.515 1034.323 , 1084.370 1014.616 926.747 909.528 915.844 909.643 905.733 904.503 902.043 907.687 894.864 907.728 896.586 889.043 888.777 906.492 890.339 943.812 1036.278 893.482 889.321 888.307 883.201 886.519 892.283 947.236 901.602 889.634 894.591 884.091 895.585 883.134 886.296 879.744 891.900 894.203 883.493 892.770 1203.783 878.372 880.714 877.372 881.334 878.010 881.972 873.579 870.792 870.082 881.426 873.497 863.847 868.656 870.700 871.075 863.474 858.676 854.229 899.962 855.178 850.345 854.130 868.769 864.912 868.801 853.691 852.711 845.267 851.584 862.763 846.537 846.860 849.417 843.709 847.448 859.504 842.480 842.139 848.125 846.274 846.139 1064.566 976.860 971.645 957.828 956.755 956.490 951.425 953.384 975.363 953.525 941.118 967.500 965.816 958.630 955.841 959.429 956.769 930.299 954.918 932.830 931.254 933.723 930.028 928.199 931.258 961.670 936.765 929.246 927.780 920.728 923.339 1098.030 969.217 922.295 1010.784 920.649 919.043 921.630 942.192 943.218
tests/exhaustivity-V.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 1927.0325, Sun Oct  1 12:18:02 CEST 2017, 6567.712 3042.649 2330.580 2299.629 2985.750 2162.243 2124.527 2140.594 2054.289 2033.113 2012.145 2007.974 2031.826 2161.663 2070.899 2062.701 1990.102 2242.086 2227.860 1957.626 6712.876 3041.408 2398.433 2582.678 2610.697 2188.565 2233.068 2226.592 2340.894 2034.505 2000.898 2007.500 2035.711 2023.963 2034.461 2076.871 1989.323 2164.084 1985.452 1981.372 6416.923 2912.130 2506.183 2151.364 2627.425 2237.953 2074.124 2071.016 1978.740 1984.455 1949.662 1982.775 1950.918 1938.997 1932.411 1925.579 1919.448 1902.462 1915.761 1894.169 , 1959.561 1969.373 1944.496 1942.561 1938.646 1944.254 1928.841 1926.958 1938.062 1931.820 1923.132 1925.002 1937.913 1929.250 1919.307 1925.354 1914.954 1954.927 1937.517 1953.920 1927.107 1924.886 1970.446 1939.386 2078.515 1925.865 1907.531 1927.440 1920.027 1936.137 1902.707 1914.734 1910.620 1941.858 1932.580 1901.343 1915.725 1908.411 1911.358 1928.757 1997.614 1968.866 1961.411 2108.613 1957.733 1945.585 2076.092 1978.829 1947.798 1952.775 1934.135 1945.411 1949.581 1938.079 1946.026 1939.678 1960.421 1942.489 1934.197 1939.887 1941.636 1945.685 1936.974 1945.509 1958.888 1926.356 1928.648 1951.221 1938.253 1925.817 1920.625 1941.020 2193.315 1922.235 1956.119 1940.975 1931.886 1916.416 1917.751 1920.317 1896.297 1893.751 1892.614 1879.299 1878.708 1927.440 1883.027 2079.338 1867.684 1879.708 1862.409 1864.171 1866.325 1876.990 1863.138 1880.574 2025.696 2096.576 1862.219 1863.083 1867.909 1874.726 1858.112 1858.270 1856.834 1854.366 1854.433 1858.030 1863.637 1846.534 1849.513 1851.730 1863.845 1844.112 1849.444 1854.602 1852.776 1842.908 1842.324 1849.734
tests/implicitNums.scala, 3216, 2017-10-01T09:18:53Z, 6fd9569, 915.331, Sun Oct  1 12:19:02 CEST 2017, 7147.561 3198.417 2405.359 1858.411 1648.515 1331.639 1715.806 1445.649 1052.179 1026.605 , 1253.957 1068.802 955.621 941.020 921.230 917.795 954.354 909.672 916.005 914.657 893.966 905.835 891.485 888.652 890.568 878.401 921.158 922.647 876.867 892.332
