dotty, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 33467.6055, Wed Nov  1 13:55:47 CET 2017, 77480.472 40854.125 36564.421 35458.804 34884.095 35885.736 34599.569 34397.777 34347.387 35131.401 34278.480 34002.718 34187.602 35013.698 33769.604 33967.997 34018.582 34526.800 33612.529 33526.112 33726.353 34823.375 33414.002 33354.139 33515.267 34353.325 33502.890 33543.860 33569.448 34186.375 , 33476.021 33639.005 33459.190 34108.495 33458.388 33508.466 33723.309 33989.403 33286.066 33383.592 33440.919 33910.158 33306.316 33331.489 33452.059 34055.897 33248.862 33580.173 33376.836 34008.048
tests/exhaustivity-I.scala, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 182.7675, Wed Nov  1 14:21:14 CET 2017, 4154.083 1488.929 846.470 634.195 603.641 439.050 394.165 360.319 412.184 300.571 272.948 257.493 241.534 239.226 298.668 267.590 213.688 217.381 200.900 204.563 4022.048 1219.765 846.154 675.422 660.932 583.739 468.951 387.043 353.832 328.218 395.852 414.800 392.829 290.152 311.969 237.382 230.958 225.129 215.976 242.007 4077.946 1387.093 1149.221 803.136 586.689 573.282 549.505 512.431 442.570 381.165 334.080 298.134 250.557 241.310 236.657 221.841 212.329 209.457 204.193 201.202 , 192.597 192.032 195.007 185.513 190.094 182.768 188.346 180.294 180.258 184.333 183.713 184.994 180.668 178.140 183.394 178.748 182.767 183.401 177.944 177.629 173.819 173.903 180.442 205.785 173.016 169.368 170.683 179.072 170.672 170.495 172.083 175.779 171.427 166.512 167.969 167.113 168.030 167.899 166.434 170.535 224.226 205.457 209.310 215.671 201.400 203.143 204.406 206.709 203.414 269.749 215.552 195.274 206.604 189.922 191.826 189.060 189.447 199.675 228.423 213.011 189.403 188.168 191.014 183.175 186.384 186.140 205.498 185.077 201.949 201.399 185.119 183.038 179.596 213.025 205.368 191.915 182.036 178.262 177.750 176.033 201.396 191.654 194.298 192.180 186.901 203.255 187.844 185.779 185.742 181.369 184.286 181.589 178.638 181.290 179.212 182.628 182.250 181.264 189.212 180.025 181.052 173.765 175.064 177.453 170.729 185.414 169.017 174.502 171.050 167.524 171.702 168.817 170.097 169.211 167.652 167.513 169.110 167.231 168.795 166.816
tests/exhaustivity-S.scala, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 287.2925, Wed Nov  1 14:25:12 CET 2017, 4015.039 1526.506 1099.129 733.850 539.738 574.795 434.237 385.164 441.633 417.034 343.038 344.032 326.113 370.190 392.196 316.173 315.621 325.736 316.494 305.020 3992.665 1317.054 822.999 671.921 554.971 481.315 456.775 373.326 336.094 335.847 333.723 327.065 341.490 384.868 305.177 292.846 301.304 298.484 288.438 285.873 3979.665 1484.517 870.325 682.009 556.370 489.915 450.648 394.983 388.268 340.938 330.935 465.147 319.280 553.008 323.633 340.558 335.659 321.058 329.307 342.005 , 315.257 333.750 306.113 299.600 301.280 294.776 314.666 298.902 294.248 293.973 293.415 292.978 294.524 296.513 288.076 291.582 291.980 298.810 289.238 285.703 285.875 286.494 285.660 285.191 284.375 296.307 285.325 339.282 314.344 283.051 283.539 283.383 283.720 286.309 284.119 284.613 286.787 284.310 308.167 286.540 288.161 283.846 282.848 283.430 281.496 281.833 304.322 282.213 277.148 275.685 274.229 273.762 278.604 280.474 272.554 272.089 274.960 271.411 271.736 271.971 272.488 273.568 269.048 269.462 270.932 270.874 342.244 293.067 275.128 269.779 269.493 270.113 279.766 274.989 269.079 266.926 301.033 269.597 268.357 271.453 314.973 402.286 306.256 298.703 316.694 361.867 301.722 293.865 292.164 293.722 309.206 298.030 305.628 290.917 288.588 287.645 287.620 293.140 286.952 289.902 289.558 299.689 289.841 297.951 286.500 295.259 289.457 287.805 290.836 286.099 291.307 293.885 294.670 284.857 285.246 283.205 285.170 286.965 287.958 287.701
tests/exhaustivity-T.scala, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 854.838, Wed Nov  1 14:30:36 CET 2017, 5091.181 1841.783 1414.928 1559.519 1842.995 1560.393 1268.102 1197.441 1053.908 1025.446 1059.269 1004.833 1030.599 1003.600 979.044 969.859 965.214 937.340 940.206 963.769 4728.859 2310.946 1512.374 1372.427 1570.823 1082.931 1141.162 1084.498 1052.030 1039.641 1013.468 992.687 1005.461 981.488 952.179 947.507 940.317 950.457 1012.712 930.667 4976.938 1919.505 1281.774 1163.429 1412.696 1066.749 1026.708 1128.875 968.544 992.365 1011.478 931.279 867.237 861.434 845.956 835.752 868.945 850.560 843.803 828.137 , 940.563 932.233 901.088 893.158 896.956 886.001 887.687 894.522 1010.075 884.877 871.398 855.471 872.859 866.015 850.358 860.648 845.894 863.225 869.725 849.192 844.591 846.069 843.966 854.205 844.614 846.411 842.247 844.322 842.252 844.610 851.473 836.988 847.907 836.749 841.291 836.110 839.093 835.093 838.779 837.417 914.211 920.098 928.580 929.030 922.950 951.550 914.604 916.216 905.242 913.281 901.167 902.001 912.307 904.778 890.512 894.797 896.998 896.883 896.373 889.155 891.684 907.118 897.970 894.021 888.932 886.558 887.325 886.403 888.099 889.264 888.694 890.099 888.678 887.809 902.952 895.168 891.381 899.848 881.225 883.927 859.238 830.135 823.577 845.148 815.326 811.859 1013.121 805.314 850.490 819.524 808.739 802.095 805.862 812.854 797.484 794.262 815.081 800.384 797.174 792.681 798.639 802.821 795.000 798.201 793.583 791.082 789.982 792.457 798.112 789.781 1033.907 784.916 793.971 801.318 790.929 788.584 788.825 788.281 793.508 792.372
tests/exhaustivity-V.scala, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 1846.5265, Wed Nov  1 14:36:43 CET 2017, 5496.020 2824.640 2558.646 2279.494 2503.324 2059.170 2020.899 2000.511 2163.488 1957.822 2065.711 1927.106 1921.500 1904.349 1897.671 1935.179 2022.887 1938.739 1915.655 1956.643 5164.227 2379.906 1872.673 1916.254 1916.807 1827.302 1763.424 1749.475 1708.155 1694.556 1721.532 1726.166 2102.223 1660.449 1634.177 1638.487 1631.582 1647.991 1659.201 1615.000 5352.630 2866.918 2491.775 2435.395 2578.356 2404.373 2171.350 2203.549 2248.681 2155.272 2193.603 2435.202 2180.195 2302.843 2042.043 2021.389 2001.930 1989.941 2017.143 1987.985 , 1926.820 1868.774 1875.326 1879.299 1851.719 1868.066 1856.360 1858.284 1874.368 1881.296 1849.210 1849.367 1846.042 1844.452 1844.690 1847.128 1847.011 1839.694 1841.395 1845.542 1862.686 1836.298 1878.641 1849.235 1869.878 1872.875 1845.604 1838.493 1840.220 1843.190 1842.285 1821.968 1821.382 1820.313 1835.716 1831.405 1842.265 1838.560 1830.439 1834.953 1615.634 1627.675 1607.246 1623.466 1603.344 1622.263 1618.797 1611.219 1861.688 1621.407 1599.545 1613.159 1678.469 1642.450 1606.993 1589.502 1694.614 1577.513 1581.856 1585.495 1608.906 1601.337 1589.372 1587.227 1574.757 1614.549 1624.282 1595.062 1588.686 1583.089 1584.011 1612.897 1590.441 1587.237 1578.315 1608.184 1584.133 1594.764 1583.676 1606.831 1973.623 1974.574 1996.676 1971.610 1972.118 1973.120 1964.341 1970.649 1984.510 1958.759 1967.140 1973.787 1967.022 1968.391 1969.097 1963.254 1978.081 1972.975 2008.824 1983.445 2033.591 1958.753 1973.082 1975.094 1966.513 1960.803 1947.086 1970.634 1956.090 1965.538 1942.755 1949.173 1992.461 1978.476 1946.677 1977.613 1964.565 1942.675 1998.233 1940.699
tests/implicitNums.scala, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 749.2935, Wed Nov  1 14:38:23 CET 2017, 6374.931 3280.980 2672.235 1419.778 1576.478 1021.355 919.136 872.701 866.524 798.786 809.505 819.109 872.571 775.813 782.107 774.827 765.015 776.750 767.005 756.324 753.962 760.544 752.093 751.371 761.008 749.267 750.916 757.747 748.388 747.282 , 758.790 749.114 756.546 757.529 764.665 747.961 753.973 746.353 753.083 752.477 744.284 743.461 753.383 741.464 741.900 755.566 743.550 740.606 749.473 740.298
tests/scalapb, 3421, 2017-11-01T12:22:18Z, fd7ba2b, 7409.8435, Wed Nov  1 14:45:42 CET 2017, 31646.428 13363.168 11075.294 8946.439 8471.320 8667.184 8060.358 7737.038 8485.285 7743.950 7673.520 7649.556 7896.934 7553.636 7522.488 7529.602 7613.119 7524.854 7504.114 7538.934 7510.461 7500.561 7501.324 7524.446 7522.272 7461.580 7422.690 7443.311 7536.505 7423.095 , 7393.973 7426.351 7463.495 7503.802 7709.319 7415.403 7397.902 7467.820 7329.636 7324.135 7384.732 7357.101 7546.051 7528.707 7376.710 7419.481 7417.327 7366.923 7404.284 7402.074
dotty, 3421, 2017-11-03T18:28:33Z, beb90b4, 34231.4975, Fri Nov  3 20:02:30 CET 2017, 77229.193 41049.058 37292.159 36254.842 36866.822 35212.168 35017.905 35013.771 34865.167 35801.508 34747.972 34804.296 34775.701 35684.329 34578.160 34547.106 34664.688 35353.926 34172.101 34368.934 34294.082 35377.342 34313.055 34250.779 34246.108 35109.824 34248.265 34357.155 34065.094 34942.427 , 34110.187 34240.387 34155.019 34879.059 34193.392 34505.487 34222.608 34933.820 34163.972 34220.634 34196.143 34759.206 34141.102 34271.040 34467.064 34706.464 34198.104 34411.471 34047.032 34257.284
tests/scala-library, 3421, 2017-11-03T18:28:33Z, beb90b4, 5545.558, Fri Nov  3 20:07:58 CET 2017, 22780.456 10559.211 8549.163 6880.536 6613.599 6717.146 6138.105 5954.922 5893.406 5835.539 6043.949 5840.957 5744.738 5731.272 5794.339 5854.559 5708.848 5707.222 5751.473 5713.446 5664.548 5713.203 5640.260 5600.104 5625.718 5642.149 5604.816 5569.219 5579.062 5656.947 , 5664.872 5582.175 5600.214 5545.851 5563.383 5547.495 5570.576 5511.200 5502.421 5569.283 5528.902 5545.265 5528.079 5558.185 5540.995 5535.870 5521.472 5549.141 5504.677 5524.270
tests/implicit_cache.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 107.548, Fri Nov  3 20:09:10 CET 2017, 2910.485 520.328 516.312 475.277 394.168 296.896 210.656 170.107 167.633 137.953 143.262 143.565 135.305 124.512 125.823 121.812 118.482 122.901 116.703 118.206 116.610 115.671 113.202 113.755 114.760 111.399 117.306 138.634 111.388 119.200 , 111.764 111.148 108.118 112.426 110.491 110.322 106.858 107.077 108.311 107.491 108.218 105.114 107.605 105.311 106.115 104.589 107.933 104.994 105.935 103.548
tests/implicit-scope-loop.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 111.111, Fri Nov  3 20:10:23 CET 2017, 2928.322 547.319 479.091 379.126 311.593 262.741 192.537 157.298 147.587 201.463 137.851 136.312 132.473 128.470 129.387 124.595 125.417 122.207 119.167 121.976 120.401 119.649 116.775 120.574 116.475 116.724 117.254 115.148 117.299 115.492 , 113.344 111.836 112.941 113.015 116.475 114.364 110.386 112.216 108.549 112.972 107.840 108.630 109.490 107.312 108.142 120.923 122.497 106.031 106.933 107.173
tests/i1535.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 132.9155, Fri Nov  3 20:11:37 CET 2017, 3834.207 1075.430 626.434 600.771 512.728 439.970 334.279 297.461 203.018 184.121 174.629 179.590 159.826 156.865 156.109 167.743 149.588 150.915 147.844 147.295 149.057 145.078 144.448 146.115 143.511 141.079 142.613 136.642 141.916 139.564 , 134.610 135.942 135.377 141.577 171.713 144.660 135.071 133.588 131.547 130.582 135.301 132.243 128.280 129.669 128.591 130.589 128.556 127.711 137.246 130.299
tests/i1687.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 85.5015, Fri Nov  3 20:12:48 CET 2017, 2700.308 607.590 438.255 292.048 267.998 206.462 204.839 133.005 106.768 116.173 103.656 116.696 104.423 98.494 94.423 94.831 93.850 91.950 96.555 93.442 94.532 93.377 92.687 93.721 89.417 102.786 94.521 89.930 88.083 94.746 , 97.492 92.218 89.630 85.070 87.435 85.096 87.617 84.864 87.896 85.349 86.220 84.539 86.550 84.126 85.654 104.728 84.147 85.281 83.804 84.632
tests/Vector.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 564.4485, Fri Nov  3 20:16:39 CET 2017, 6921.604 2006.302 1591.720 1687.574 1794.886 1557.128 1539.397 1315.003 901.194 913.108 1166.427 749.804 901.142 699.215 667.962 695.682 656.696 687.158 644.199 722.195 7612.013 2845.329 2314.429 1937.183 1763.954 1441.582 1092.170 973.584 979.342 784.026 694.199 669.671 673.718 669.477 623.164 626.959 611.081 598.129 599.193 610.111 7706.661 2107.720 1794.210 1490.570 1972.982 1516.064 1045.039 966.725 1038.102 1170.899 1029.438 756.013 717.954 693.613 668.810 697.275 634.928 639.505 636.536 637.059 , 612.363 649.291 589.665 581.653 584.552 582.320 577.925 592.441 587.624 574.505 567.866 578.579 552.788 552.695 556.987 559.187 554.512 549.789 569.328 541.341 542.684 546.040 554.660 546.945 536.070 537.830 556.805 544.731 529.328 531.495 661.523 641.942 773.600 588.707 571.069 619.406 656.101 569.130 551.035 556.674 568.739 590.621 550.872 545.471 559.445 564.474 540.500 534.187 546.081 538.288 538.385 537.089 560.605 540.188 530.503 544.753 552.174 530.585 531.986 542.198 624.338 613.139 607.772 608.365 631.580 621.130 642.013 613.697 641.849 568.632 574.152 564.829 572.989 561.165 566.519 571.595 558.499 584.902 562.679 565.071 551.098 564.423 550.924 575.965 569.912 545.454 658.162 579.746 557.388 542.269
tests/empty-class.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 73.575, Fri Nov  3 20:17:49 CET 2017, 2403.677 424.337 322.179 261.652 223.849 145.793 108.812 95.194 89.687 84.094 84.162 83.077 84.146 78.105 80.270 77.888 79.796 76.865 78.913 76.373 76.775 75.258 76.405 74.653 76.775 75.123 79.826 76.534 75.372 75.770 , 75.591 75.006 73.207 75.717 79.920 76.313 75.220 78.055 74.290 74.172 71.908 73.282 73.215 72.856 71.818 73.061 71.639 73.532 71.696 73.618
tests/empty-object.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 74.388, Fri Nov  3 20:18:59 CET 2017, 2500.640 407.766 240.328 200.975 191.629 157.075 139.548 141.306 101.235 87.095 84.837 84.575 94.834 84.490 85.642 83.168 79.224 86.330 78.703 79.058 78.118 78.784 77.325 77.798 76.005 78.267 76.423 77.166 74.997 77.680 , 75.429 75.847 74.565 76.162 75.782 75.898 74.418 75.881 74.358 73.705 74.288 90.934 73.002 78.500 72.503 74.280 73.428 73.460 72.564 73.979
tests/empty-file.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 57.875, Fri Nov  3 20:20:09 CET 2017, 1947.073 340.260 231.054 200.553 162.023 103.248 107.815 81.103 72.940 65.226 62.565 62.337 61.134 61.112 61.292 59.070 60.252 60.351 60.678 64.106 61.801 59.401 59.878 59.308 57.983 59.327 57.923 59.400 57.621 58.751 , 58.415 57.585 58.375 57.186 58.598 58.548 57.354 58.172 57.495 59.537 58.944 59.053 57.903 56.877 57.847 57.054 58.249 57.446 56.615 57.694
tests/patmatexhaust.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 299.1835, Fri Nov  3 20:24:19 CET 2017, 5310.365 1833.195 1608.484 1217.510 1070.715 1015.040 842.847 740.381 736.855 643.708 609.362 552.049 576.496 466.797 402.489 388.065 386.505 364.386 356.611 374.382 5581.344 1850.130 1744.588 1429.183 1130.819 1168.658 869.703 887.678 814.820 675.834 521.539 529.144 530.744 560.373 437.150 378.089 386.333 351.188 347.397 346.034 5498.462 2090.547 1652.964 1379.861 1225.214 842.387 719.092 765.555 648.820 522.800 514.120 640.166 462.447 562.980 411.877 436.456 365.100 455.773 342.098 348.757 , 381.992 347.126 343.025 329.596 326.059 322.744 322.668 315.672 365.839 313.306 306.276 365.350 309.981 303.833 299.124 310.005 294.494 301.883 305.083 291.462 301.085 295.245 301.482 310.864 301.328 321.303 294.613 288.945 287.573 294.310 284.241 283.018 291.535 284.363 282.008 308.031 289.562 280.380 307.069 283.704 345.038 335.471 351.048 334.275 323.472 334.610 325.883 312.254 306.424 330.285 307.843 303.122 310.681 378.444 307.567 337.930 307.754 354.806 295.011 301.879 291.349 298.724 288.941 295.792 293.427 287.748 285.283 295.807 295.764 283.426 288.167 282.931 288.288 312.914 279.521 278.945 311.503 278.092 276.575 280.768 389.170 327.583 337.830 337.060 359.628 311.501 371.305 322.050 389.886 350.398 300.594 297.315 296.678 301.272 289.440 295.625 299.243 289.412 301.340 305.402 282.300 283.772 289.567 285.607 284.721 290.095 276.525 285.563 280.980 279.526 286.922 278.857 273.017 287.833 272.016 272.690 280.913 272.493 272.395 277.100
tests/exhaustivity-I.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 183.549, Fri Nov  3 20:28:09 CET 2017, 4063.376 1306.595 803.710 675.793 578.273 507.578 476.222 500.737 427.862 440.107 298.113 276.619 259.388 255.814 261.058 218.452 210.553 202.743 215.475 206.066 4085.939 1626.945 844.404 672.588 682.517 649.368 581.887 443.585 438.526 323.800 328.557 363.711 287.869 245.709 221.558 225.150 211.244 209.370 216.341 212.824 3941.259 1427.092 1004.483 863.610 797.158 713.421 596.743 463.959 319.985 313.689 282.222 261.234 253.665 272.629 244.209 236.505 217.316 208.652 220.636 260.085 , 200.783 197.831 203.248 194.732 192.316 196.147 189.020 191.198 203.352 196.805 193.788 183.724 186.990 182.564 181.014 188.788 204.903 182.289 188.463 183.577 185.118 180.552 180.585 186.526 178.587 184.455 178.053 177.990 178.023 174.864 179.113 172.472 176.841 173.845 171.784 174.309 171.311 173.719 172.669 170.650 205.821 201.020 198.675 217.992 188.962 188.494 184.207 193.505 193.570 183.971 194.627 196.608 190.507 177.388 177.380 182.215 191.005 242.091 186.576 180.522 180.598 174.002 175.850 175.877 194.867 177.016 189.177 171.290 175.987 216.952 174.116 168.758 169.890 175.826 167.652 166.193 168.125 165.883 169.206 165.877 207.304 202.359 202.679 201.734 190.020 193.160 185.673 188.773 184.975 183.532 191.414 181.864 183.566 184.550 180.488 184.698 180.038 204.649 243.419 183.117 179.701 189.496 190.552 190.348 192.576 208.665 176.902 200.078 173.521 170.064 168.394 171.656 169.791 171.620 168.186 170.165 172.383 167.282 167.157 168.894
tests/exhaustivity-S.scala, 3421, 2017-11-03T18:28:33Z, beb90b4, 320.023, Fri Nov  3 20:32:06 CET 2017, 4053.159 1226.112 1033.262 840.651 826.115 659.028 505.432 409.137 464.689 351.887 346.313 451.024 343.580 354.627 346.215 350.778 321.865 316.429 314.281 315.850 4098.116 1153.532 762.427 649.774 579.374 620.487 516.276 526.239 522.959 415.382 409.045 379.391 375.668 374.615 371.154 368.366 364.678 368.126 361.576 365.321 4051.977 1442.521 1215.299 858.394 798.882 700.764 530.132 500.538 436.988 400.615 374.734 367.281 362.338 446.362 361.965 348.426 346.513 348.699 355.150 336.050 , 312.846 307.852 308.939 303.866 302.808 303.203 352.501 302.176 298.665 308.973 309.623 315.046 299.726 297.348 296.643 296.553 296.081 296.132 297.082 290.911 292.899 291.941 291.452 291.867 291.365 290.740 303.221 291.800 294.611 303.561 289.837 289.993 292.501 290.717 296.664 288.421 315.819 287.699 295.189 287.328 361.052 354.977 356.022 372.386 352.068 359.948 350.604 353.110 347.473 348.177 361.827 347.147 348.297 353.516 468.274 346.230 355.973 341.977 339.435 377.575 340.403 338.273 340.994 354.450 346.678 438.276 359.507 349.037 345.179 339.283 337.328 337.559 345.875 342.276 334.605 337.480 337.147 335.104 337.209 341.032 339.359 338.992 336.060 335.233 331.370 344.126 331.730 334.973 329.651 340.239 336.180 324.824 326.292 369.904 345.832 323.031 321.047 318.194 319.877 318.991 319.824 322.153 320.169 318.218 318.044 317.331 316.830 319.323 315.616 316.316 316.090 316.703 316.684 317.143 318.961 315.846 314.896 316.219 313.691 314.654
